# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -2.152644e-06     -2.152644e-06 0.000000e+00  8.670105e-06 0.000000e+00  6.565494e-07 0.000000e+00
0.770508 6.600205e-06     6.600205e-06 0.000000e+00  1.038144e-05 0.000000e+00  -4.672325e-07 0.000000e+00
1.284179 -3.009592e-06     -3.009592e-06 0.000000e+00  2.232564e-06 0.000000e+00  -5.042899e-06 0.000000e+00
1.797851 -1.196664e-06     -1.196664e-06 0.000000e+00  3.130722e-06 0.000000e+00  -8.393322e-06 0.000000e+00
2.311523 -1.353362e-04     -1.353362e-04 0.000000e+00  6.610144e-06 0.000000e+00  -5.330958e-06 0.000000e+00
2.825194 -5.359065e-04     -5.359065e-04 0.000000e+00  4.626495e-06 0.000000e+00  -5.389604e-07 0.000000e+00
3.338866 -8.161808e-04     -8.161808e-04 0.000000e+00  8.157541e-06 0.000000e+00  1.224877e-06 0.000000e+00
3.852538 -8.272166e-04     -8.272166e-04 0.000000e+00  4.397243e-06 0.000000e+00  -2.599739e-07 0.000000e+00
4.366210 -6.104832e-04     -6.104832e-04 0.000000e+00  1.008199e-06 0.000000e+00  3.237197e-06 0.000000e+00
4.879881 -1.926046e-04     -1.926046e-04 0.000000e+00  -3.547252e-06 0.000000e+00  3.129377e-06 0.000000e+00
5.393553 -7.023332e-06     -7.023332e-06 0.000000e+00  -3.963528e-07 0.000000e+00  -9.318547e-07 0.000000e+00
5.907225 -1.076015e-05     -1.076015e-05 0.000000e+00  -1.836648e-06 0.000000e+00  -5.451924e-06 0.000000e+00
6.420896 -6.466636e-06     -6.466636e-06 0.000000e+00  -4.937519e-06 0.000000e+00  -5.063392e-06 0.000000e+00
6.934568 -6.408358e-07     -6.408358e-07 0.000000e+00  -5.712854e-07 0.000000e+00  -2.128891e-06 0.000000e+00
7.448240 6.906528e-06     6.906528e-06 0.000000e+00  1.701065e-06 0.000000e+00  1.261253e-06 0.000000e+00
7.961912 1.459731e-05     1.459731e-05 0.000000e+00  5.576949e-06 0.000000e+00  -3.983525e-06 0.000000e+00
8.475583 -6.499387e-06     -6.499387e-06 0.000000e+00  -4.177684e-06 0.000000e+00  -1.349503e-06 0.000000e+00
8.989255 2.356510e-06     2.356510e-06 0.000000e+00  -4.937244e-06 0.000000e+00  8.233073e-07 0.000000e+00
9.502927 7.527500e-06     7.527500e-06 0.000000e+00  -6.623609e-06 0.000000e+00  -2.607306e-06 0.000000e+00
10.016598 1.845053e-04     1.845053e-04 0.000000e+00  -2.240323e-06 0.000000e+00  -3.719948e-07 0.000000e+00
10.530270 6.151537e-04     6.151537e-04 0.000000e+00  4.478857e-06 0.000000e+00  3.991766e-06 0.000000e+00
11.043942 8.413996e-04     8.413996e-04 0.000000e+00  2.676948e-06 0.000000e+00  5.892260e-06 0.000000e+00
11.557613 8.189378e-04     8.189378e-04 0.000000e+00  3.790024e-07 0.000000e+00  4.007434e-06 0.000000e+00
12.071285 5.336818e-04     5.336818e-04 0.000000e+00  4.119055e-06 0.000000e+00  8.082494e-07 0.000000e+00
12.584957 1.330246e-04     1.330246e-04 0.000000e+00  4.853447e-07 0.000000e+00  1.353615e-08 0.000000e+00
13.098629 -1.128139e-05     -1.128139e-05 0.000000e+00  3.031690e-06 0.000000e+00  3.165793e-06 0.000000e+00
13.612300 8.590160e-07     8.590160e-07 0.000000e+00  -3.541510e-06 0.000000e+00  7.723239e-06 0.000000e+00
14.125972 -8.743618e-06     -8.743618e-06 0.000000e+00  5.538251e-06 0.000000e+00  1.802430e-06 0.000000e+00
14.639644 9.952149e-06     9.952149e-06 0.000000e+00  3.243289e-06 0.000000e+00  6.215595e-06 0.000000e+00
