# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     2.536377e-06 1.963992e-14 9.586891e-06     2.536377e-06 0.000000e+00 9.586891e-06     -1.984030e-14 1.963992e-14 1.002686e-13
1.596051     -1.908885e-06 -7.839016e-14 2.777875e-06     -1.908885e-06 0.000000e+00 2.777874e-06     -6.770538e-15 -7.839016e-14 3.861960e-14
2.660086     -4.071520e-04 1.290726e-14 5.264095e-06     -4.071520e-04 0.000000e+00 5.264095e-06     7.524831e-14 1.290726e-14 -3.658519e-14
3.724120     -8.244577e-04 3.413885e-14 5.337318e-06     -8.244577e-04 0.000000e+00 5.337317e-06     -6.986804e-14 3.413885e-14 1.256107e-13
4.788154     -2.672256e-04 -4.887541e-14 -2.733781e-06     -2.672256e-04 0.000000e+00 -2.733781e-06     -3.710817e-14 -4.887541e-14 -4.922108e-14
5.852189     -1.035978e-05 -1.807048e-13 -1.682331e-06     -1.035978e-05 0.000000e+00 -1.682330e-06     8.621782e-15 -1.807048e-13 -2.461528e-13
6.916223     -8.488969e-07 -7.269142e-14 -7.272198e-07     -8.488969e-07 0.000000e+00 -7.272199e-07     -7.580807e-14 -7.269142e-14 5.446734e-14
7.980257     1.384387e-05 1.426543e-13 5.228574e-06     1.384387e-05 0.000000e+00 5.228574e-06     4.306010e-14 1.426543e-13 1.202057e-13
9.044291     2.910546e-06 -1.373943e-14 -5.117926e-06     2.910546e-06 0.000000e+00 -5.117926e-06     4.961085e-14 -1.373943e-14 1.423366e-13
10.108326     2.614073e-04 -2.138129e-13 -1.040462e-06     2.614073e-04 0.000000e+00 -1.040462e-06     -6.369834e-14 -2.138129e-13 1.991723e-13
11.172360     8.357841e-04 -2.242902e-14 2.102461e-06     8.357841e-04 0.000000e+00 2.102460e-06     3.162370e-14 -2.242902e-14 5.272764e-14
12.236394     4.048988e-04 1.938465e-13 2.951074e-06     4.048988e-04 0.000000e+00 2.951074e-06     1.678593e-14 1.938465e-13 -4.769816e-15
13.300429     -6.511939e-06 -4.002330e-14 4.493582e-07     -6.511939e-06 0.000000e+00 4.493582e-07     -7.651087e-14 -4.002330e-14 -3.354017e-14
14.364463     -6.342995e-08 -7.958722e-14 4.472732e-06     -6.343007e-08 0.000000e+00 4.472732e-06     1.121672e-13 -7.958722e-14 4.662788e-14
