# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.069790e-04    1.348974e-04 1.567040e-04 8.682829e-11
1.596051 2.066864e-04    1.347177e-04 1.568310e-04 -2.556126e-11
2.660086 4.723296e-04    4.389345e-04 1.557342e-04 6.178576e-09
3.724120 8.907363e-04    8.406120e-04 1.973436e-04 4.783815e-08
4.788154 3.933660e-04    3.317437e-04 2.169291e-04 -2.375242e-09
5.852189 2.854974e-04    1.857480e-04 2.164394e-04 1.604690e-10
6.916223 2.844911e-04    1.862677e-04 2.150403e-04 -2.764912e-12
7.980257 2.884210e-04    1.868278e-04 2.202353e-04 -2.215712e-10
9.044291 2.856589e-04    1.870197e-04 2.159981e-04 -3.051479e-11
10.108326 3.983528e-04    3.285301e-04 2.151903e-04 4.446096e-09
11.172360 9.027757e-04    8.519020e-04 1.949222e-04 5.127223e-08
12.236394 4.682498e-04    4.369411e-04 1.561773e-04 3.948997e-09
13.300429 2.072732e-04    1.349110e-04 1.573034e-04 1.682350e-11
14.364463 2.069639e-04    1.352677e-04 1.565768e-04 2.041457e-11
