# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 1.113616e-04 9.801505e-05 6.289622e-05 6
0.750000 1.523935e-04 1.359499e-04 4.003066e-05 5
1.250000 1.090790e-04 1.156138e-04 6.172423e-05 9
1.750000 1.236581e-04 1.059632e-04 6.686936e-05 7
2.250000 2.211403e-04 2.206697e-04 6.238205e-05 9
2.750000 4.729606e-04 4.722715e-04 7.647463e-05 8
3.250000 8.649872e-04 8.568553e-04 7.345771e-05 1901
3.750000 8.956211e-04 8.733729e-04 8.684949e-05 28145
4.250000 7.174489e-04 7.277774e-04 9.290220e-05 45080
4.750000 4.097528e-04 3.952243e-04 9.221277e-05 45459
5.250000 2.123391e-04 1.917433e-04 9.166953e-05 44975
5.750000 2.074839e-04 1.856788e-04 9.170991e-05 45401
6.250000 2.076676e-04 1.858251e-04 9.226990e-05 44834
6.750000 2.074549e-04 1.859396e-04 9.199579e-05 45189
7.250000 2.076359e-04 1.863028e-04 9.167252e-05 45236
7.750000 2.079360e-04 1.865322e-04 9.242215e-05 45065
8.250000 2.081747e-04 1.866205e-04 9.238674e-05 45108
8.750000 2.071545e-04 1.854995e-04 9.250250e-05 45064
9.250000 2.066686e-04 1.855929e-04 9.208564e-05 45107
9.750000 2.128603e-04 1.921971e-04 9.174320e-05 45110
10.250000 4.105419e-04 3.968659e-04 9.206143e-05 45057
10.750000 7.179077e-04 7.273526e-04 9.280322e-05 44934
11.250000 8.930887e-04 8.708867e-04 8.710364e-05 27486
11.750000 8.619648e-04 8.541691e-04 7.328017e-05 1966
12.250000 5.537582e-04 5.600516e-04 6.350979e-05 3
12.750000 2.844385e-04 2.840598e-04 7.073474e-05 5
13.250000 1.608328e-04 1.431992e-04 6.457679e-05 12
13.750000 1.701388e-04 1.225454e-04 8.384907e-05 3
14.250000 1.664757e-04 1.519390e-04 8.401783e-05 8
14.750000 1.713860e-04 1.219305e-04 8.567104e-05 8
