# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -4.927782e-06     -4.927782e-06 0.000000e+00  3.166435e-06 0.000000e+00  -4.445504e-06 0.000000e+00
0.770508 2.126220e-06     2.126220e-06 0.000000e+00  4.167920e-06 0.000000e+00  -5.130441e-06 0.000000e+00
1.284179 -1.109267e-05     -1.109267e-05 0.000000e+00  -8.153854e-07 0.000000e+00  -1.280714e-06 0.000000e+00
1.797851 2.919881e-06     2.919881e-06 0.000000e+00  2.640122e-06 0.000000e+00  -4.330694e-06 0.000000e+00
2.311523 -1.221666e-04     -1.221666e-04 0.000000e+00  8.020563e-06 0.000000e+00  -9.528584e-07 0.000000e+00
2.825194 -4.527703e-04     -4.527703e-04 0.000000e+00  3.753240e-07 0.000000e+00  -8.252229e-06 0.000000e+00
3.338866 -6.936032e-04     -6.936032e-04 0.000000e+00  -3.033917e-06 0.000000e+00  -1.549485e-06 0.000000e+00
3.852538 -7.089819e-04     -7.089819e-04 0.000000e+00  -8.059198e-06 0.000000e+00  3.841701e-06 0.000000e+00
4.366210 -5.187442e-04     -5.187442e-04 0.000000e+00  -5.981291e-06 0.000000e+00  -2.871947e-06 0.000000e+00
4.879881 -1.733995e-04     -1.733995e-04 0.000000e+00  -1.617430e-06 0.000000e+00  1.616588e-06 0.000000e+00
5.393553 -4.775658e-06     -4.775658e-06 0.000000e+00  7.135948e-07 0.000000e+00  4.734369e-06 0.000000e+00
5.907225 -1.599685e-06     -1.599685e-06 0.000000e+00  -6.886457e-06 0.000000e+00  3.416358e-06 0.000000e+00
6.420896 7.057870e-07     7.057870e-07 0.000000e+00  2.906988e-06 0.000000e+00  2.832756e-06 0.000000e+00
6.934568 -1.434664e-05     -1.434664e-05 0.000000e+00  7.582743e-06 0.000000e+00  -1.908085e-06 0.000000e+00
7.448240 1.901352e-06     1.901352e-06 0.000000e+00  3.814839e-06 0.000000e+00  2.680403e-06 0.000000e+00
7.961912 8.077586e-06     8.077586e-06 0.000000e+00  -1.061543e-06 0.000000e+00  -2.299558e-06 0.000000e+00
8.475583 -2.292049e-06     -2.292049e-06 0.000000e+00  5.934120e-07 0.000000e+00  -4.707575e-06 0.000000e+00
8.989255 6.423658e-06     6.423658e-06 0.000000e+00  6.191005e-06 0.000000e+00  -2.036035e-06 0.000000e+00
9.502927 1.445812e-05     1.445812e-05 0.000000e+00  2.050883e-06 0.000000e+00  -5.458162e-06 0.000000e+00
10.016598 1.708891e-04     1.708891e-04 0.000000e+00  1.371886e-07 0.000000e+00  -7.312056e-06 0.000000e+00
10.530270 5.255990e-04     5.255990e-04 0.000000e+00  -2.881945e-06 0.000000e+00  -9.354781e-06 0.000000e+00
11.043942 7.108622e-04     7.108622e-04 0.000000e+00  -6.164583e-06 0.000000e+00  -2.794290e-06 0.000000e+00
11.557613 6.933511e-04     6.933511e-04 0.000000e+00  -2.997401e-06 0.000000e+00  -2.022096e-07 0.000000e+00
12.071285 4.518794e-04     4.518794e-04 0.000000e+00  -2.199160e-06 0.000000e+00  2.451535e-06 0.000000e+00
12.584957 1.155036e-04     1.155036e-04 0.000000e+00  -5.388006e-06 0.000000e+00  1.362665e-06 0.000000e+00
13.098629 -1.211337e-06     -1.211337e-06 0.000000e+00  2.679012e-06 0.000000e+00  -5.722582e-07 0.000000e+00
13.612300 7.275020e-06     7.275020e-06 0.000000e+00  3.621962e-06 0.000000e+00  -4.900342e-06 0.000000e+00
14.125972 -8.778432e-06     -8.778432e-06 0.000000e+00  1.691125e-06 0.000000e+00  -1.671918e-06 0.000000e+00
14.639644 6.717651e-06     6.717651e-06 0.000000e+00  5.260503e-07 0.000000e+00  -6.070723e-06 0.000000e+00
