# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     5.937824e-06 2.022361e-06 9.115470e-06     -1.148856e-06 0.000000e+00 3.702944e-06     7.086680e-06 2.022361e-06 5.412526e-06
1.596051     -1.001327e-06 -2.089218e-07 4.417096e-06     -2.585046e-06 0.000000e+00 1.282602e-06     1.583719e-06 -2.089218e-07 3.134493e-06
2.660086     -3.491088e-04 -8.809611e-07 3.024775e-06     -3.465050e-04 0.000000e+00 2.832719e-06     -2.603800e-06 -8.809611e-07 1.920562e-07
3.724120     -7.405856e-04 1.925812e-06 -6.659368e-07     -7.051372e-04 0.000000e+00 -6.802878e-06     -3.544839e-05 1.925812e-06 6.136941e-06
4.788154     -2.372591e-04 -1.620798e-06 -1.012811e-05     -2.350680e-04 0.000000e+00 -2.396689e-06     -2.191029e-06 -1.620798e-06 -7.731424e-06
5.852189     -1.537651e-06 -7.594806e-06 -7.959383e-06     -1.939969e-06 0.000000e+00 -6.072164e-06     4.023172e-07 -7.594806e-06 -1.887219e-06
6.916223     -1.547705e-05 -4.133801e-06 9.907593e-06     -1.380906e-05 0.000000e+00 7.415754e-06     -1.667993e-06 -4.133801e-06 2.491838e-06
7.980257     1.148003e-05 -7.486481e-06 -2.038006e-06     7.707247e-06 0.000000e+00 -1.002438e-06     3.772788e-06 -7.486481e-06 -1.035568e-06
9.044291     1.176311e-05 -2.361252e-06 1.474262e-05     7.284495e-06 0.000000e+00 5.747419e-06     4.478616e-06 -2.361252e-06 8.995203e-06
10.108326     2.350030e-04 -6.864414e-06 -4.185806e-06     2.342305e-04 0.000000e+00 -4.019458e-07     7.724079e-07 -6.864414e-06 -3.783860e-06
11.172360     7.315924e-04 -2.795616e-06 -1.150484e-05     7.064844e-04 0.000000e+00 -5.372786e-06     2.510797e-05 -2.795616e-06 -6.132051e-06
12.236394     3.518635e-04 -2.717448e-06 -4.663095e-06     3.437583e-04 0.000000e+00 -3.224149e-06     8.105187e-06 -2.717448e-06 -1.438947e-06
13.300429     4.455027e-06 -3.071220e-06 7.280844e-07     2.122593e-06 0.000000e+00 3.049457e-06     2.332434e-06 -3.071220e-06 -2.321373e-06
14.364463     -4.101588e-06 -3.823539e-06 -5.994545e-06     -1.583813e-06 0.000000e+00 1.150197e-06     -2.517774e-06 -3.823539e-06 -7.144742e-06
