# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 9.801505e-05 9.801505e-05 2.253151e-12 6
0.750000 1.359499e-04 1.359499e-04 2.319110e-12 5
1.250000 1.156138e-04 1.156138e-04 2.341692e-12 9
1.750000 1.059632e-04 1.059632e-04 1.500936e-12 7
2.250000 2.206698e-04 2.206697e-04 1.910184e-12 9
2.750000 4.722715e-04 4.722715e-04 2.690915e-12 8
3.250000 8.568553e-04 8.568553e-04 2.574567e-12 1901
3.750000 8.733729e-04 8.733729e-04 2.690601e-12 28145
4.250000 7.277774e-04 7.277774e-04 2.810414e-12 45080
4.750000 3.952243e-04 3.952243e-04 2.825077e-12 45459
5.250000 1.917433e-04 1.917433e-04 2.850945e-12 44975
5.750000 1.856784e-04 1.856784e-04 2.891671e-12 45401
6.250000 1.858251e-04 1.858251e-04 2.905776e-12 44834
6.750000 1.859396e-04 1.859396e-04 2.944289e-12 45189
7.250000 1.863028e-04 1.863028e-04 2.942808e-12 45236
7.750000 1.865322e-04 1.865322e-04 2.928362e-12 45065
8.250000 1.866205e-04 1.866205e-04 2.932683e-12 45108
8.750000 1.854995e-04 1.854995e-04 2.912957e-12 45064
9.250000 1.855929e-04 1.855929e-04 2.875964e-12 45107
9.750000 1.921971e-04 1.921971e-04 2.849400e-12 45110
10.250000 3.968659e-04 3.968659e-04 2.824719e-12 45057
10.750000 7.273526e-04 7.273526e-04 2.781698e-12 44934
11.250000 8.708867e-04 8.708867e-04 2.687428e-12 27486
11.750000 8.541691e-04 8.541691e-04 2.519814e-12 1966
12.250000 5.600516e-04 5.600516e-04 1.404333e-12 3
12.750000 2.840598e-04 2.840598e-04 2.688938e-12 5
13.250000 1.431992e-04 1.431992e-04 2.369100e-12 12
13.750000 1.225454e-04 1.225454e-04 2.378982e-12 3
14.250000 1.519390e-04 1.519390e-04 1.726679e-12 8
14.750000 1.219305e-04 1.219305e-04 2.188760e-12 8
