# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 1.621113e-04 1.122181e-04 1.381578e-04 6
0.750000 2.226298e-04 1.317012e-04 1.483510e-04 5
1.250000 1.706938e-04 9.844257e-05 1.528779e-04 9
1.750000 1.795000e-04 8.630069e-05 1.668170e-04 7
2.250000 2.513519e-04 2.110577e-04 2.017746e-04 9
2.750000 4.327420e-04 3.797413e-04 2.667846e-04 8
3.250000 7.650978e-04 7.272246e-04 1.989091e-04 1901
3.750000 7.898430e-04 7.418294e-04 2.150848e-04 28145
4.250000 6.428311e-04 6.198062e-04 2.216832e-04 45080
4.750000 4.074027e-04 3.398684e-04 2.173270e-04 45459
5.250000 2.706279e-04 1.627838e-04 2.160945e-04 44975
5.750000 2.674586e-04 1.568150e-04 2.166437e-04 45401
6.250000 2.677415e-04 1.569201e-04 2.166100e-04 44834
6.750000 2.670013e-04 1.570768e-04 2.159622e-04 45189
7.250000 2.668348e-04 1.576735e-04 2.153283e-04 45236
7.750000 2.686328e-04 1.576214e-04 2.177944e-04 45065
8.250000 2.692037e-04 1.573408e-04 2.172184e-04 45108
8.750000 2.670915e-04 1.566322e-04 2.162919e-04 45064
9.250000 2.666243e-04 1.570062e-04 2.158842e-04 45107
9.750000 2.708278e-04 1.634978e-04 2.159629e-04 45110
10.250000 4.068637e-04 3.405718e-04 2.168053e-04 45057
10.750000 6.445086e-04 6.195623e-04 2.219323e-04 44934
11.250000 7.864992e-04 7.393728e-04 2.167289e-04 27486
11.750000 7.647532e-04 7.266222e-04 1.972143e-04 1966
12.250000 5.320967e-04 4.850039e-04 1.527991e-04 3
12.750000 2.421130e-04 2.041580e-04 1.498398e-04 5
13.250000 2.002537e-04 1.052529e-04 1.404093e-04 12
13.750000 1.492936e-04 8.453937e-05 8.412490e-05 3
14.250000 2.091145e-04 1.161075e-04 2.165343e-04 8
14.750000 2.344014e-04 1.111903e-04 2.114697e-04 8
