# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 1.241102e-04 1.122181e-04 8.559591e-05 6
0.750000 1.505378e-04 1.317012e-04 5.676541e-05 5
1.250000 1.030584e-04 9.844257e-05 6.949293e-05 9
1.750000 1.102451e-04 8.630069e-05 5.333622e-05 7
2.250000 2.110741e-04 2.110577e-04 5.971153e-05 9
2.750000 3.868850e-04 3.797413e-04 7.608678e-05 8
3.250000 7.346656e-04 7.272246e-04 8.425412e-05 1901
3.750000 7.669442e-04 7.418294e-04 1.009335e-04 28145
4.250000 6.127803e-04 6.198062e-04 1.085947e-04 45080
4.750000 3.604884e-04 3.398684e-04 1.081333e-04 45459
5.250000 1.950297e-04 1.627838e-04 1.079934e-04 44975
5.750000 1.908462e-04 1.568150e-04 1.078673e-04 45401
6.250000 1.912729e-04 1.569201e-04 1.087577e-04 44834
6.750000 1.905490e-04 1.570768e-04 1.079504e-04 45189
7.250000 1.911651e-04 1.576735e-04 1.079801e-04 45236
7.750000 1.913360e-04 1.576214e-04 1.089005e-04 45065
8.250000 1.912493e-04 1.573408e-04 1.086731e-04 45108
8.750000 1.907361e-04 1.566322e-04 1.089744e-04 45064
9.250000 1.898850e-04 1.570062e-04 1.078145e-04 45107
9.750000 1.958226e-04 1.634978e-04 1.078439e-04 45110
10.250000 3.608356e-04 3.405718e-04 1.086370e-04 45057
10.750000 6.133021e-04 6.195623e-04 1.087033e-04 44934
11.250000 7.643817e-04 7.393728e-04 1.015411e-04 27486
11.750000 7.338490e-04 7.266222e-04 8.374885e-05 1966
12.250000 5.010519e-04 4.850039e-04 7.680974e-05 3
12.750000 2.111747e-04 2.041580e-04 7.439941e-05 5
13.250000 1.230087e-04 1.052529e-04 7.104773e-05 12
13.750000 1.603979e-04 8.453937e-05 1.026291e-04 3
14.250000 1.381175e-04 1.161075e-04 6.526696e-05 8
14.750000 1.409989e-04 1.111903e-04 8.866537e-05 8
