# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 1.144359e-04 1.122181e-04 6.348033e-05 6
0.750000 1.480676e-04 1.317012e-04 3.956393e-05 5
1.250000 9.908896e-05 9.844257e-05 6.219713e-05 9
1.750000 1.050865e-04 8.630069e-05 6.580421e-05 7
2.250000 2.095524e-04 2.110577e-04 6.222622e-05 9
2.750000 3.833829e-04 3.797413e-04 7.520605e-05 8
3.250000 7.361036e-04 7.272246e-04 7.342052e-05 1901
3.750000 7.645879e-04 7.418292e-04 8.670617e-05 28145
4.250000 6.106659e-04 6.198066e-04 9.274939e-05 45080
4.750000 3.560177e-04 3.398686e-04 9.210394e-05 45459
5.250000 1.864235e-04 1.627841e-04 9.156341e-05 44975
5.750000 1.819235e-04 1.568150e-04 9.157649e-05 45401
6.250000 1.823506e-04 1.569201e-04 9.214612e-05 44834
6.750000 1.819666e-04 1.570768e-04 9.187986e-05 45189
7.250000 1.823874e-04 1.576733e-04 9.155722e-05 45236
7.750000 1.824958e-04 1.576212e-04 9.230395e-05 45065
8.250000 1.824499e-04 1.573407e-04 9.228460e-05 45108
8.750000 1.817114e-04 1.566322e-04 9.239925e-05 45064
9.250000 1.814176e-04 1.570062e-04 9.196175e-05 45107
9.750000 1.874313e-04 1.634974e-04 9.163168e-05 45110
10.250000 3.559018e-04 3.405716e-04 9.195241e-05 45057
10.750000 6.112111e-04 6.195623e-04 9.263397e-05 44934
11.250000 7.621081e-04 7.393728e-04 8.696623e-05 27486
11.750000 7.350171e-04 7.266222e-04 7.317838e-05 1966
12.250000 4.797587e-04 4.850039e-04 6.612432e-05 3
12.750000 2.087380e-04 2.041580e-04 7.131521e-05 5
13.250000 1.222981e-04 1.052529e-04 6.415466e-05 12
13.750000 1.427636e-04 8.453937e-05 8.728386e-05 3
14.250000 1.284045e-04 1.161075e-04 8.288614e-05 8
14.750000 1.399761e-04 1.111903e-04 8.463167e-05 8
