# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.030252e-04 3.775717e-05 1.068340e-04 22
3.750000 1.120764e-04 4.250271e-05 1.190131e-04 593
4.250000 1.247297e-04 4.887462e-05 1.336685e-04 877
4.750000 1.437866e-04 5.008621e-05 1.538592e-04 904
5.250000 1.501344e-04 5.055591e-05 1.586330e-04 905
5.750000 1.457680e-04 4.947104e-05 1.541590e-04 902
6.250000 1.513176e-04 4.920557e-05 1.585347e-04 894
6.750000 1.490329e-04 5.161989e-05 1.571834e-04 907
7.250000 1.498519e-04 5.302506e-05 1.579250e-04 908
7.750000 1.523961e-04 4.899895e-05 1.607854e-04 917
8.250000 1.507888e-04 4.998089e-05 1.585931e-04 941
8.750000 1.462562e-04 5.264591e-05 1.559242e-04 892
9.250000 1.499557e-04 5.260239e-05 1.623014e-04 890
9.750000 1.474786e-04 5.038068e-05 1.567014e-04 907
10.250000 1.405976e-04 4.970741e-05 1.485774e-04 900
10.750000 1.241169e-04 4.953584e-05 1.333678e-04 905
11.250000 1.133612e-04 4.459839e-05 1.219298e-04 534
11.750000 1.045311e-04 3.323879e-05 1.074818e-04 26
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
