# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 3.088301e-06    3.085154e-06 1.391326e-07 6.587518e-17
1.596051 5.606094e-06    5.605916e-06 4.475513e-08 -4.854883e-18
2.660086 7.998077e-05    7.965310e-05 7.230879e-06 2.148512e-14
3.724120 2.592575e-04    1.643420e-04 2.004568e-04 2.324716e-11
4.788154 3.418378e-04    2.176479e-04 2.635848e-04 5.582492e-12
5.852189 3.496416e-04    2.284950e-04 2.646463e-04 1.628445e-12
6.916223 3.499180e-04    2.286523e-04 2.648846e-04 -3.153722e-12
7.980257 3.488361e-04    2.288433e-04 2.632456e-04 1.914147e-11
9.044291 3.504334e-04    2.286565e-04 2.655627e-04 -3.794829e-12
10.108326 3.443345e-04    2.185317e-04 2.661052e-04 -1.810923e-12
11.172360 2.699305e-04    1.648760e-04 2.137093e-04 6.752538e-12
12.236394 8.126331e-05    8.089823e-05 7.718858e-06 -3.787094e-13
13.300429 2.629616e-06    2.627891e-06 9.614941e-08 -1.755662e-16
14.364463 2.801093e-06    2.800503e-06 5.734340e-08 2.048414e-17
