# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 3.085448e-06    3.085154e-06 4.177548e-08 6.599774e-17
1.596051 5.605917e-06    5.605916e-06 4.098252e-09 -4.833112e-18
2.660086 7.971408e-05    7.965310e-05 3.114135e-06 2.152611e-14
3.724120 1.853493e-04    1.643420e-04 8.557344e-05 2.326648e-11
4.788154 2.444378e-04    2.176479e-04 1.112368e-04 5.583980e-12
5.852189 2.547598e-04    2.284950e-04 1.126542e-04 1.629145e-12
6.916223 2.548707e-04    2.286523e-04 1.126071e-04 -3.162374e-12
7.980257 2.547853e-04    2.288433e-04 1.119247e-04 1.915912e-11
9.044291 2.547817e-04    2.286565e-04 1.123997e-04 -3.799595e-12
10.108326 2.460230e-04    2.185317e-04 1.130178e-04 -1.812275e-12
11.172360 1.887783e-04    1.648760e-04 9.190436e-05 6.759968e-12
12.236394 8.096479e-05    8.089823e-05 3.339574e-06 -3.792654e-13
13.300429 2.627969e-06    2.627891e-06 2.418472e-08 -1.757859e-16
14.364463 2.800549e-06    2.800503e-06 1.552856e-08 2.050013e-17
