# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 9.642303e-05 9.555127e-05 1.440425e-05 98
3.750000 1.132280e-04 1.119466e-04 1.622281e-05 2893
4.250000 1.286893e-04 1.271905e-04 1.690955e-05 4460
4.750000 1.433432e-04 1.420058e-04 1.678186e-05 4548
5.250000 1.515287e-04 1.506497e-04 1.685878e-05 4513
5.750000 1.505523e-04 1.495321e-04 1.683893e-05 4535
6.250000 1.512894e-04 1.504191e-04 1.690148e-05 4511
6.750000 1.515000e-04 1.504688e-04 1.684491e-05 4552
7.250000 1.511252e-04 1.499941e-04 1.681254e-05 4515
7.750000 1.513659e-04 1.504716e-04 1.690579e-05 4547
8.250000 1.496242e-04 1.487556e-04 1.690648e-05 4570
8.750000 1.486313e-04 1.474010e-04 1.685729e-05 4506
9.250000 1.511538e-04 1.502860e-04 1.691369e-05 4531
9.750000 1.513052e-04 1.506561e-04 1.687948e-05 4486
10.250000 1.417733e-04 1.408989e-04 1.692627e-05 4543
10.750000 1.275665e-04 1.263943e-04 1.687225e-05 4463
11.250000 1.132968e-04 1.121912e-04 1.622262e-05 2727
11.750000 1.039305e-04 1.028327e-04 1.374861e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
