# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 9.633591e-05 9.555127e-05 1.035741e-05 98
3.750000 1.122629e-04 1.119466e-04 8.852265e-06 2893
4.250000 1.275628e-04 1.271905e-04 8.578973e-06 4460
4.750000 1.424411e-04 1.420058e-04 8.655613e-06 4548
5.250000 1.508790e-04 1.506497e-04 8.325254e-06 4513
5.750000 1.498768e-04 1.495321e-04 8.454212e-06 4535
6.250000 1.505953e-04 1.504191e-04 8.489561e-06 4511
6.750000 1.506571e-04 1.504688e-04 8.461665e-06 4552
7.250000 1.503502e-04 1.499941e-04 8.408300e-06 4515
7.750000 1.506337e-04 1.504716e-04 8.503792e-06 4547
8.250000 1.491082e-04 1.487556e-04 8.604084e-06 4570
8.750000 1.476171e-04 1.474010e-04 8.578649e-06 4506
9.250000 1.505311e-04 1.502860e-04 8.493894e-06 4531
9.750000 1.508865e-04 1.506561e-04 8.711981e-06 4486
10.250000 1.410882e-04 1.408989e-04 8.707847e-06 4543
10.750000 1.267294e-04 1.263943e-04 8.651649e-06 4463
11.250000 1.124823e-04 1.121912e-04 8.975349e-06 2727
11.750000 1.039825e-04 1.028327e-04 1.031258e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
