# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.003585e-04 9.555127e-05 3.426864e-05 98
3.750000 1.206134e-04 1.119445e-04 4.394043e-05 2893
4.250000 1.363286e-04 1.271905e-04 4.986411e-05 4460
4.750000 1.508205e-04 1.420058e-04 5.098623e-05 4548
5.250000 1.595531e-04 1.506497e-04 5.135432e-05 4513
5.750000 1.580106e-04 1.495321e-04 5.180117e-05 4535
6.250000 1.584752e-04 1.504191e-04 5.194876e-05 4511
6.750000 1.589959e-04 1.504688e-04 5.215638e-05 4552
7.250000 1.588236e-04 1.499941e-04 5.168117e-05 4515
7.750000 1.584012e-04 1.504716e-04 5.064812e-05 4547
8.250000 1.569571e-04 1.487556e-04 5.052132e-05 4570
8.750000 1.568218e-04 1.474010e-04 5.082535e-05 4506
9.250000 1.593911e-04 1.502860e-04 5.236101e-05 4531
9.750000 1.587452e-04 1.506561e-04 5.090499e-05 4486
10.250000 1.494407e-04 1.408989e-04 5.065811e-05 4543
10.750000 1.362665e-04 1.263943e-04 4.997749e-05 4463
11.250000 1.195298e-04 1.121895e-04 4.369314e-05 2727
11.750000 1.082254e-04 1.028327e-04 3.583820e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
