# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.049321e-05 1.346769e-05 7.968837e-05 33
3.750000 9.503749e-05 1.643869e-05 9.660066e-05 564
4.250000 1.088925e-04 1.668323e-05 1.103269e-04 897
4.750000 1.188400e-04 1.702954e-05 1.202658e-04 915
5.250000 1.280205e-04 1.678653e-05 1.290686e-04 899
5.750000 1.240966e-04 1.693265e-05 1.254400e-04 927
6.250000 1.272856e-04 1.701675e-05 1.289208e-04 902
6.750000 1.266303e-04 1.686634e-05 1.278285e-04 904
7.250000 1.240708e-04 1.673051e-05 1.251417e-04 906
7.750000 1.273577e-04 1.700409e-05 1.281292e-04 890
8.250000 1.256366e-04 1.709692e-05 1.265347e-04 909
8.750000 1.309927e-04 1.675487e-05 1.323258e-04 891
9.250000 1.239740e-04 1.672096e-05 1.247153e-04 911
9.750000 1.250000e-04 1.670499e-05 1.260507e-04 897
10.250000 1.226691e-04 1.706823e-05 1.240472e-04 882
10.750000 1.077385e-04 1.696390e-05 1.087108e-04 914
11.250000 9.638889e-05 1.645696e-05 9.729952e-05 559
11.750000 7.220102e-05 1.449705e-05 7.568035e-05 24
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
