# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.476302e-05 8.224475e-05 1.135048e-04 45
3.750000 9.259632e-05 9.260864e-05 1.289624e-04 544
4.250000 1.058923e-04 9.603047e-05 1.439361e-04 899
4.750000 1.215464e-04 9.529873e-05 1.547954e-04 886
5.250000 1.303057e-04 9.703833e-05 1.619214e-04 913
5.750000 1.260925e-04 9.587047e-05 1.601872e-04 918
6.250000 1.270287e-04 9.613469e-05 1.580723e-04 911
6.750000 1.256005e-04 9.667663e-05 1.589012e-04 910
7.250000 1.261884e-04 9.638307e-05 1.609266e-04 892
7.750000 1.270168e-04 9.672124e-05 1.584498e-04 919
8.250000 1.275871e-04 9.661098e-05 1.619392e-04 902
8.750000 1.316447e-04 9.541497e-05 1.654109e-04 922
9.250000 1.253941e-04 9.641381e-05 1.542147e-04 880
9.750000 1.264990e-04 9.827809e-05 1.608932e-04 921
10.250000 1.182282e-04 9.736266e-05 1.536098e-04 902
10.750000 1.048415e-04 9.445815e-05 1.404589e-04 887
11.250000 9.343842e-05 9.123809e-05 1.287385e-04 533
11.750000 8.374572e-05 8.942707e-05 1.298677e-04 40
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
