# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 9.094301e-05 4.084927e-05 1.027670e-04 47
3.750000 9.628764e-05 4.364379e-05 1.042580e-04 560
4.250000 1.065251e-04 5.214982e-05 1.166897e-04 886
4.750000 1.221210e-04 5.357915e-05 1.332493e-04 910
5.250000 1.311326e-04 5.055097e-05 1.398696e-04 892
5.750000 1.260520e-04 5.033405e-05 1.375422e-04 918
6.250000 1.277351e-04 4.996376e-05 1.366876e-04 909
6.750000 1.288049e-04 5.012594e-05 1.380873e-04 910
7.250000 1.275589e-04 5.032441e-05 1.368280e-04 895
7.750000 1.249588e-04 5.239744e-05 1.353758e-04 916
8.250000 1.268464e-04 4.990743e-05 1.366693e-04 894
8.750000 1.287401e-04 5.136377e-05 1.408543e-04 904
9.250000 1.303913e-04 5.207907e-05 1.402939e-04 905
9.750000 1.273744e-04 5.050949e-05 1.366104e-04 904
10.250000 1.195697e-04 5.099128e-05 1.287831e-04 891
10.750000 1.067635e-04 4.895580e-05 1.161636e-04 881
11.250000 9.632787e-05 4.319134e-05 1.054511e-04 571
11.750000 8.414403e-05 3.764948e-05 9.042129e-05 31
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
