# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.298862e-05 1.046901e-05 8.416185e-05 33
3.750000 9.401841e-05 9.401879e-06 9.440732e-05 569
4.250000 1.050722e-04 8.845214e-06 1.055077e-04 895
4.750000 1.212865e-04 8.348068e-06 1.217691e-04 896
5.250000 1.267951e-04 7.993593e-06 1.268868e-04 930
5.750000 1.256222e-04 8.533408e-06 1.260178e-04 898
6.250000 1.251648e-04 8.462544e-06 1.254251e-04 907
6.750000 1.267828e-04 8.261620e-06 1.271319e-04 885
7.250000 1.245117e-04 8.034926e-06 1.246191e-04 907
7.750000 1.262169e-04 8.417064e-06 1.267837e-04 906
8.250000 1.254566e-04 8.701627e-06 1.256158e-04 920
8.750000 1.259088e-04 8.727173e-06 1.265457e-04 884
9.250000 1.267746e-04 8.761190e-06 1.273847e-04 899
9.750000 1.228575e-04 8.739493e-06 1.231704e-04 909
10.250000 1.221691e-04 8.767435e-06 1.225897e-04 923
10.750000 1.086987e-04 8.809714e-06 1.091373e-04 902
11.250000 9.151978e-05 8.684866e-06 9.138685e-05 519
11.750000 8.431492e-05 1.033384e-05 8.472970e-05 40
12.250000 1.011206e-04 1.240163e-05 9.948336e-05 2
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
