# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     3.861126e-08 1.267334e-09 4.904260e-09     3.792509e-08 0.000000e+00 4.024291e-09     6.861730e-10 1.267334e-09 8.799683e-10
1.596051     2.260059e-07 1.957198e-11 9.485034e-09     2.260168e-07 0.000000e+00 9.466382e-09     -1.089643e-11 1.957198e-11 1.865232e-11
2.660086     -2.921196e-07 -9.049247e-09 -3.642350e-07     -3.043668e-07 0.000000e+00 -3.151655e-07     1.224721e-08 -9.049247e-09 -4.906943e-08
3.724120     -6.246436e-06 2.934940e-06 -8.394213e-08     -3.054897e-06 0.000000e+00 -2.231645e-07     -3.191539e-06 2.934940e-06 1.392224e-07
4.788154     4.197397e-06 1.886143e-07 -6.436678e-07     1.903287e-06 0.000000e+00 -1.920246e-06     2.294109e-06 1.886143e-07 1.276578e-06
5.852189     1.707150e-06 1.172999e-06 -6.779354e-07     9.912954e-07 0.000000e+00 -4.029983e-07     7.158547e-07 1.172999e-06 -2.749372e-07
6.916223     -2.155415e-07 -1.721112e-06 2.814824e-06     -6.742215e-07 0.000000e+00 3.136209e-06     4.586801e-07 -1.721112e-06 -3.213841e-07
7.980257     -9.177320e-08 -1.359493e-06 -5.726717e-06     1.178750e-07 0.000000e+00 -2.703020e-06     -2.096482e-07 -1.359493e-06 -3.023697e-06
9.044291     2.551638e-07 -2.319141e-06 -7.175770e-07     -5.588628e-07 0.000000e+00 7.712885e-07     8.140266e-07 -2.319141e-06 -1.488865e-06
10.108326     1.169231e-06 4.759430e-07 2.951925e-07     6.681443e-07 0.000000e+00 -8.761539e-07     5.010864e-07 4.759430e-07 1.171346e-06
11.172360     8.554702e-07 -2.066714e-06 -3.547291e-06     1.035237e-06 0.000000e+00 -2.003462e-06     -1.797669e-07 -2.066714e-06 -1.543828e-06
12.236394     -1.588821e-07 4.921245e-08 -1.456379e-07     -4.825171e-07 0.000000e+00 -1.842752e-07     3.236350e-07 4.921245e-08 3.863733e-08
13.300429     -1.611670e-07 5.737475e-10 -2.771866e-08     -1.619904e-07 0.000000e+00 -2.600105e-08     8.233556e-10 5.737475e-10 -1.717614e-09
14.364463     -1.267236e-08 1.595101e-10 1.720032e-08     -1.268959e-08 0.000000e+00 1.673191e-08     1.723743e-11 1.595101e-10 4.684115e-10
