# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 1.792281e-05 8.822972e-13 1.792281e-05 1
3.250000 4.127279e-05 2.350344e-12 4.127279e-05 33
3.750000 4.849328e-05 2.957065e-12 4.849328e-05 555
4.250000 5.609372e-05 2.952909e-12 5.609372e-05 879
4.750000 6.197922e-05 2.927197e-12 6.197922e-05 903
5.250000 6.426653e-05 3.025017e-12 6.426653e-05 915
5.750000 6.570212e-05 2.863590e-12 6.570212e-05 912
6.250000 6.537101e-05 2.862944e-12 6.537101e-05 907
6.750000 6.522220e-05 3.060539e-12 6.522220e-05 923
7.250000 6.626121e-05 3.253547e-12 6.626121e-05 886
7.750000 6.534913e-05 3.162049e-12 6.534913e-05 928
8.250000 6.544402e-05 3.169042e-12 6.544402e-05 906
8.750000 6.594258e-05 2.955104e-12 6.594258e-05 924
9.250000 6.635950e-05 2.745064e-12 6.635950e-05 915
9.750000 6.372217e-05 2.844172e-12 6.372217e-05 891
10.250000 5.994555e-05 2.754817e-12 5.994555e-05 901
10.750000 5.500635e-05 2.885023e-12 5.500635e-05 885
11.250000 4.712423e-05 2.609622e-12 4.712423e-05 509
11.750000 4.441591e-05 2.244754e-12 4.441591e-05 51
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
