# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 4.544560e-05 8.854579e-06 4.663894e-05 44
3.750000 4.745769e-05 9.150148e-06 4.822242e-05 579
4.250000 5.515672e-05 8.388199e-06 5.571302e-05 882
4.750000 6.236365e-05 8.549823e-06 6.316647e-05 903
5.250000 6.566028e-05 8.480310e-06 6.624201e-05 910
5.750000 6.510581e-05 8.948798e-06 6.576060e-05 906
6.250000 6.590313e-05 8.703166e-06 6.655076e-05 924
6.750000 6.492064e-05 8.500559e-06 6.536839e-05 899
7.250000 6.483747e-05 8.435757e-06 6.552169e-05 909
7.750000 6.447056e-05 8.519105e-06 6.522693e-05 904
8.250000 6.463897e-05 8.984115e-06 6.519231e-05 881
8.750000 6.399630e-05 8.718593e-06 6.445998e-05 892
9.250000 6.385738e-05 9.117910e-06 6.452670e-05 896
9.750000 6.379155e-05 8.687862e-06 6.455685e-05 896
10.250000 6.084998e-05 8.431388e-06 6.131845e-05 895
10.750000 5.464272e-05 8.496998e-06 5.523928e-05 907
11.250000 4.922993e-05 8.974191e-06 5.012938e-05 523
11.750000 4.559268e-05 8.324293e-06 4.658276e-05 73
12.250000 6.500560e-05 6.997053e-06 6.041314e-05 1
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
