# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 4.894820e-05 1.556618e-05 4.771248e-05 53
3.750000 4.943860e-05 1.627766e-05 5.202689e-05 541
4.250000 5.424421e-05 1.680462e-05 5.665601e-05 893
4.750000 5.985316e-05 1.674836e-05 6.222435e-05 900
5.250000 6.335067e-05 1.683835e-05 6.519170e-05 922
5.750000 6.579221e-05 1.685335e-05 6.852315e-05 906
6.250000 6.589488e-05 1.688666e-05 6.802315e-05 899
6.750000 6.510477e-05 1.683392e-05 6.716407e-05 921
7.250000 6.385923e-05 1.668142e-05 6.626665e-05 907
7.750000 6.617462e-05 1.692250e-05 6.820333e-05 895
8.250000 6.401881e-05 1.657704e-05 6.615462e-05 913
8.750000 6.538598e-05 1.673720e-05 6.751336e-05 885
9.250000 6.476581e-05 1.684862e-05 6.743806e-05 917
9.750000 6.334649e-05 1.672611e-05 6.578041e-05 907
10.250000 6.004495e-05 1.684617e-05 6.275500e-05 900
10.750000 5.418566e-05 1.682496e-05 5.692202e-05 894
11.250000 4.809176e-05 1.607560e-05 5.079297e-05 516
11.750000 4.394091e-05 1.525095e-05 4.655209e-05 54
12.250000 1.365064e-05 9.745995e-06 9.867569e-06 1
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
