# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.512852e-06    1.512852e-06 1.530932e-12 -2.376609e-21
1.596051 2.753436e-06    2.753436e-06 1.638671e-12 1.399647e-21
2.660086 3.558018e-05    3.558018e-05 1.870487e-12 4.673275e-21
3.724120 7.025597e-05    7.025597e-05 2.772623e-12 4.523861e-19
4.788154 9.259678e-05    9.259678e-05 3.303317e-12 3.541782e-19
5.852189 9.773025e-05    9.773025e-05 3.399262e-12 7.526366e-21
6.916223 9.783856e-05    9.783856e-05 3.448438e-12 -2.557163e-19
7.980257 9.789522e-05    9.789522e-05 3.464720e-12 5.494785e-19
9.044291 9.783113e-05    9.783113e-05 3.417397e-12 -1.392310e-19
10.108326 9.299067e-05    9.299067e-05 3.290531e-12 -7.795532e-20
11.172360 7.055575e-05    7.055575e-05 2.801320e-12 -1.813010e-19
12.236394 3.610721e-05    3.610721e-05 1.885391e-12 3.553485e-20
13.300429 2.082918e-06    2.082918e-06 1.658139e-12 1.807132e-20
14.364463 1.662078e-06    1.662078e-06 1.540214e-12 -3.144457e-21
