# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     2.682205e-08 8.298855e-15 -5.243431e-10     2.682209e-08 0.000000e+00 -5.243466e-10     -4.423559e-14 8.298855e-15 3.459354e-15
1.596051     1.459700e-07 -4.377448e-15 -1.496336e-09     1.459700e-07 0.000000e+00 -1.496338e-09     4.818763e-15 -4.377448e-15 2.386594e-15
2.660086     -8.387296e-09 -9.943926e-15 -2.350851e-07     -8.387457e-09 0.000000e+00 -2.350851e-07     1.611240e-13 -9.943926e-15 -1.568818e-14
3.724120     -1.413333e-06 -2.633888e-14 1.364689e-07     -1.413333e-06 0.000000e+00 1.364690e-07     -1.678292e-13 -2.633888e-14 -8.064454e-14
4.788154     6.230808e-07 3.037769e-13 -1.044236e-06     6.230807e-07 0.000000e+00 -1.044236e-06     5.874107e-14 3.037769e-13 -1.345373e-13
5.852189     7.302973e-07 -1.842504e-13 -4.791273e-07     7.302973e-07 0.000000e+00 -4.791273e-07     -2.925809e-14 -1.842504e-13 -5.245013e-14
6.916223     -3.378373e-07 2.232434e-13 1.370078e-06     -3.378372e-07 0.000000e+00 1.370078e-06     -1.425641e-13 2.232434e-13 -1.284756e-13
7.980257     6.227256e-10 -4.279479e-14 -1.362613e-06     6.225995e-10 0.000000e+00 -1.362612e-06     1.260131e-13 -4.279479e-14 -2.015693e-13
9.044291     -3.064323e-07 -1.748791e-13 3.386231e-07     -3.064323e-07 0.000000e+00 3.386233e-07     -2.693762e-15 -1.748791e-13 -2.080216e-13
10.108326     4.571607e-07 -7.947807e-14 -3.724994e-07     4.571608e-07 0.000000e+00 -3.724994e-07     -6.592464e-14 -7.947807e-14 2.373025e-14
11.172360     2.904411e-07 -2.282326e-13 -1.030743e-06     2.904409e-07 0.000000e+00 -1.030743e-06     1.249709e-13 -2.282326e-13 1.231609e-13
12.236394     -2.548045e-07 1.545327e-14 -1.155836e-07     -2.548044e-07 0.000000e+00 -1.155836e-07     -7.435961e-14 1.545327e-14 1.020674e-14
13.300429     -1.165808e-07 -1.750976e-15 -1.211542e-08     -1.165807e-07 0.000000e+00 -1.211542e-08     -7.798265e-14 -1.750976e-15 4.590265e-15
14.364463     -1.429631e-08 -4.318431e-15 4.182021e-09     -1.429641e-08 0.000000e+00 4.182029e-09     1.076358e-13 -4.318431e-15 -7.991988e-15
