# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
0.061556 3.897304e-08   1.496252e-17 4.007364e-37   1.467271e-14 -1.422751e-22   -1.316878e-14 5.996126e-26
0.184667 4.225446e-08   2.050441e-17 3.805612e-37   1.866829e-14 -5.293956e-23   -1.690335e-14 -1.086091e-25
0.307779 3.863597e-08   1.611953e-17 8.712677e-37   1.465085e-14 -1.336724e-21   -1.317423e-14 7.741877e-25
0.430890 3.060259e-08   7.403240e-18 4.163739e-37   7.100973e-15 -7.940934e-22   -6.171858e-15 3.341818e-26
0.554001 2.222161e-08   2.155621e-18 6.388332e-37   2.365051e-15 -1.614657e-21   -1.873407e-15 2.394969e-25
0.677113 1.493255e-08   6.480277e-19 1.396227e-38   8.153354e-16 -1.482308e-21   -5.930023e-16 -9.189998e-26
0.800224 9.038954e-09   2.954724e-19 2.678870e-38   3.617868e-16 -1.336724e-21   -2.803796e-16 3.119030e-25
0.923336 5.066052e-09   1.363956e-19 1.219262e-37   1.627662e-16 -1.005852e-21   -1.372377e-16 1.281030e-25
1.046447 2.907153e-09   5.299519e-20 3.577863e-37   7.028505e-17 -3.176374e-22   -6.188651e-17 -3.620302e-25
1.169558 2.003665e-09   1.645800e-20 2.441348e-37   3.302749e-17 -1.164670e-21   -2.902927e-17 -2.896242e-25
1.292670 1.869929e-09   4.659179e-21 2.549295e-37   2.147202e-17 -3.599890e-21   -1.798005e-17 -6.015272e-25
1.415781 2.269605e-09   2.115725e-21 1.243222e-37   2.169793e-17 -1.638802e-21   -1.654893e-17 -6.629416e-25
1.538893 3.200176e-09   1.374838e-21 2.091324e-37   3.322693e-17 -1.352406e-21   -2.298718e-17 -8.103536e-25
1.662004 4.888826e-09   5.268385e-22 4.566231e-37   6.985743e-17 -7.149893e-22   -4.595734e-17 5.672694e-25
1.785115 7.895194e-09   7.462996e-21 2.567908e-37   1.765694e-16 -7.644090e-22   -1.142428e-16 -2.032157e-26
1.908227 1.381493e-08   4.860283e-19 3.956468e-37   5.342164e-16 -1.401912e-21   -3.438502e-16 -9.208796e-25
2.031338 2.757032e-08   1.124578e-17 1.339464e-36   2.676072e-15 -5.887771e-22   -1.927195e-15 -4.452286e-25
2.154450 5.746621e-08   1.011776e-16 4.253615e-37   2.193185e-14 -1.155171e-21   -1.873066e-14 -3.884007e-25
2.277561 1.260829e-07   3.154459e-16 2.411514e-37   1.519320e-13 -1.495868e-21   -1.363505e-13 -2.021211e-25
2.400672 3.039647e-07   3.488359e-16 3.256589e-37   7.166426e-13 2.588555e-22   -6.245969e-13 -5.765847e-25
2.523784 6.428268e-07   1.082425e-15 1.546920e-37   2.797875e-12 3.053313e-22   -2.385731e-12 -4.131195e-26
2.646895 1.276688e-06   2.316699e-15 2.450098e-37   1.099776e-11 -1.910149e-21   -9.370142e-12 -7.397473e-25
2.770007 2.472150e-06   1.089838e-14 1.275254e-37   3.708593e-11 -8.937449e-22   -3.098530e-11 -4.583661e-25
2.893118 4.370131e-06   4.294397e-14 1.657384e-37   1.076972e-10 -1.491216e-21   -8.864211e-11 8.917867e-26
3.016229 7.498133e-06   4.669240e-13 4.019962e-37   2.964077e-10 5.304842e-22   -2.406526e-10 6.403406e-26
3.139341 1.186793e-05   7.282641e-13 9.922063e-38   7.014408e-10 -1.036873e-21   -5.613212e-10 8.964347e-25
3.262452 1.759155e-05   2.411025e-12 2.915824e-38   1.481557e-09 -2.284870e-21   -1.174505e-09 -9.725033e-25
3.385564 2.477810e-05   7.799697e-12 2.318122e-37   2.936538e-09 -7.485294e-22   -2.330384e-09 6.351998e-25
3.508675 3.261404e-05   5.886433e-12 2.533088e-37   5.175841e-09 -1.146625e-21   -4.118052e-09 -1.244051e-25
3.631786 4.041048e-05   1.552096e-11 2.992627e-37   7.903222e-09 -1.900543e-21   -6.285736e-09 1.407498e-25
3.754898 4.717124e-05   2.004394e-11 2.750427e-37   1.082263e-08 -1.891692e-22   -8.617545e-09 1.041265e-25
3.878009 5.235470e-05   6.875139e-12 3.822771e-37   1.341807e-08 -2.292193e-22   -1.068393e-08 8.628199e-25
4.001121 5.566997e-05   1.830750e-11 7.299084e-37   1.507364e-08 -1.738678e-21   -1.199280e-08 6.922839e-26
4.124232 5.762083e-05   1.137464e-11 4.335761e-37   1.616797e-08 -6.312915e-23   -1.285918e-08 -6.129109e-25
4.247343 5.875248e-05   6.386736e-12 4.983599e-37   1.685754e-08 -1.179026e-21   -1.341207e-08 -2.212164e-25
4.370455 5.919051e-05   1.901109e-11 6.063150e-37   1.705176e-08 1.211081e-21   -1.356725e-08 -5.950223e-25
4.493566 5.931565e-05   4.171614e-12 3.607178e-37   1.713689e-08 -7.048870e-22   -1.362272e-08 9.082646e-25
4.616678 5.954572e-05   4.885058e-12 1.052173e-36   1.722045e-08 -2.229703e-21   -1.367964e-08 -4.904723e-25
4.739789 5.929906e-05   1.210104e-11 3.575617e-37   1.703150e-08 -1.735393e-21   -1.352722e-08 1.131904e-24
4.862900 5.963993e-05   4.082465e-12 3.213804e-37   1.731650e-08 -1.215511e-21   -1.376366e-08 -9.299785e-25
4.986012 5.992867e-05   1.198944e-11 3.201516e-37   1.754307e-08 -2.753583e-21   -1.396361e-08 -3.444411e-25
5.109123 5.999300e-05   5.932345e-12 3.763827e-38   1.750519e-08 1.696741e-22   -1.391196e-08 -6.131815e-25
5.232235 6.022143e-05   6.635429e-12 3.067013e-37   1.765350e-08 -1.150087e-21   -1.403352e-08 8.519099e-25
5.355346 6.037593e-05   1.939306e-11 1.815054e-37   1.768856e-08 -2.408541e-21   -1.406270e-08 8.510356e-26
5.478457 6.001014e-05   6.203099e-12 5.921989e-37   1.752306e-08 -6.803198e-22   -1.392804e-08 -6.203795e-25
5.601569 5.995450e-05   2.432343e-12 3.629707e-37   1.755175e-08 -1.534057e-21   -1.395964e-08 -4.577534e-25
5.724680 5.992909e-05   4.912792e-12 1.242890e-36   1.751779e-08 1.328098e-21   -1.393121e-08 -8.835099e-25
5.847792 5.987489e-05   1.991303e-12 5.414657e-37   1.749228e-08 -5.446391e-22   -1.390927e-08 2.138150e-25
5.970903 5.979259e-05   2.875779e-12 1.662359e-37   1.747745e-08 -2.652071e-21   -1.390517e-08 -5.946239e-26
6.094014 5.935265e-05   1.966521e-12 1.269477e-37   1.714527e-08 -2.460358e-21   -1.362450e-08 5.939251e-25
6.217126 5.928678e-05   2.171227e-12 5.208176e-37   1.703153e-08 -2.168286e-21   -1.351877e-08 -9.175895e-25
6.340237 5.937095e-05   1.277298e-12 1.124329e-36   1.715535e-08 -2.390994e-21   -1.363171e-08 -8.610714e-26
6.463349 5.972968e-05   6.059077e-13 6.190419e-37   1.739511e-08 -3.098344e-22   -1.382808e-08 -6.857627e-25
6.586460 6.002643e-05   1.344726e-13 8.261810e-37   1.752801e-08 -1.668812e-21   -1.392497e-08 5.275039e-25
6.709571 6.012709e-05   7.555789e-13 4.921256e-37   1.769209e-08 -2.646474e-21   -1.407758e-08 5.262526e-25
6.832683 5.998689e-05   1.959356e-12 1.130050e-36   1.760287e-08 -6.169625e-22   -1.400640e-08 -1.047002e-25
6.955794 5.982803e-05   4.040770e-12 6.558849e-37   1.747616e-08 -1.326542e-21   -1.390081e-08 8.224323e-26
7.078906 5.979171e-05   8.092209e-12 4.745756e-37   1.748785e-08 5.667863e-22   -1.392090e-08 -6.233354e-25
7.202017 5.976136e-05   1.169269e-11 1.222956e-36   1.740468e-08 4.727407e-22   -1.384495e-08 2.352939e-25
7.325128 5.990327e-05   1.304679e-11 1.759143e-36   1.747464e-08 7.982189e-23   -1.389929e-08 -1.263316e-25
7.448240 6.003558e-05   5.819574e-12 1.388491e-36   1.759151e-08 -4.833934e-22   -1.399305e-08 2.351484e-25
7.571351 5.983447e-05   2.782481e-12 2.442683e-36   1.747828e-08 -5.173288e-22   -1.390090e-08 -1.423199e-25
7.694463 5.967187e-05   2.677164e-12 2.312835e-36   1.735842e-08 1.038054e-22   -1.380037e-08 -1.213769e-25
7.817574 5.981020e-05   5.690833e-12 1.341020e-36   1.744289e-08 1.427559e-22   -1.387132e-08 -1.147546e-25
7.940685 5.955337e-05   1.074742e-11 1.606549e-36   1.730876e-08 8.099729e-22   -1.377291e-08 1.002292e-26
8.063797 5.950409e-05   1.455421e-11 1.928324e-36   1.723251e-08 2.029333e-21   -1.370633e-08 -9.387014e-26
8.186908 5.953687e-05   1.748799e-11 1.269779e-36   1.725910e-08 1.330836e-21   -1.373195e-08 -2.535273e-25
8.310020 5.951128e-05   1.556573e-11 3.509622e-37   1.723720e-08 1.098530e-21   -1.371117e-08 1.010846e-26
8.433131 5.980991e-05   1.387284e-11 4.606205e-37   1.745556e-08 1.453584e-21   -1.389220e-08 -7.741269e-25
