# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.512961e-06    1.512852e-06 1.711395e-08 3.588637e-17
1.596051 2.753439e-06    2.753436e-06 4.119221e-09 -3.236925e-18
2.660086 3.561731e-05    3.558018e-05 1.618930e-06 2.286554e-14
3.724120 9.468061e-05    7.025597e-05 6.339918e-05 9.059413e-12
4.788154 1.243423e-04    9.259678e-05 8.298582e-05 1.927340e-13
5.852189 1.285142e-04    9.773025e-05 8.344685e-05 1.309033e-12
6.916223 1.284921e-04    9.783856e-05 8.330085e-05 -1.190561e-12
7.980257 1.283048e-04    9.789522e-05 8.288789e-05 8.239993e-12
9.044291 1.287827e-04    9.783113e-05 8.375892e-05 -1.507217e-12
10.108326 1.252252e-04    9.299067e-05 8.387192e-05 -4.144976e-13
11.172360 9.800060e-05    7.055575e-05 6.799211e-05 3.078157e-12
12.236394 3.614339e-05    3.610721e-05 1.669615e-06 -1.738589e-13
13.300429 2.082891e-06    2.082918e-06 6.405518e-09 -1.503556e-16
14.364463 1.662093e-06    1.662078e-06 6.970199e-09 3.424954e-18
