# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     2.750692e-08 1.265721e-09 3.543847e-10     2.682209e-08 0.000000e+00 -5.243466e-10     6.848354e-10 1.265721e-09 8.787313e-10
1.596051     1.459591e-07 1.951689e-11 -1.477767e-09     1.459700e-07 0.000000e+00 -1.496338e-09     -1.093569e-11 1.951689e-11 1.857131e-11
2.660086     3.859008e-09 -9.038880e-09 -2.840916e-07     -8.387457e-09 0.000000e+00 -2.350851e-07     1.224647e-08 -9.038880e-09 -4.900648e-08
3.724120     -4.602211e-06 2.932229e-06 2.754893e-07     -1.413333e-06 0.000000e+00 1.364690e-07     -3.188878e-06 2.932229e-06 1.390203e-07
4.788154     2.915197e-06 1.881130e-07 2.304707e-07     6.230807e-07 0.000000e+00 -1.044236e-06     2.292116e-06 1.881130e-07 1.274706e-06
5.852189     1.445923e-06 1.171582e-06 -7.536845e-07     7.302973e-07 0.000000e+00 -4.791273e-07     7.156256e-07 1.171582e-06 -2.745572e-07
6.916223     1.204615e-07 -1.719638e-06 1.049751e-06     -3.378372e-07 0.000000e+00 1.370078e-06     4.582986e-07 -1.719638e-06 -3.203272e-07
7.980257     -2.088315e-07 -1.357774e-06 -4.383525e-06     6.225995e-10 0.000000e+00 -1.362612e-06     -2.094541e-07 -1.357774e-06 -3.020913e-06
9.044291     5.063920e-07 -2.316787e-06 -1.148501e-06     -3.064323e-07 0.000000e+00 3.386233e-07     8.128242e-07 -2.316787e-06 -1.487124e-06
10.108326     9.582190e-07 4.760792e-07 7.981997e-07     4.571608e-07 0.000000e+00 -3.724994e-07     5.010582e-07 4.760792e-07 1.170699e-06
11.172360     1.113428e-07 -2.064930e-06 -2.572603e-06     2.904409e-07 0.000000e+00 -1.030743e-06     -1.790981e-07 -2.064930e-06 -1.541860e-06
12.236394     6.834726e-08 4.916725e-08 -7.697831e-08     -2.548044e-07 0.000000e+00 -1.155836e-07     3.231517e-07 4.916725e-08 3.860529e-08
13.300429     -1.157583e-07 5.725926e-10 -1.383144e-08     -1.165807e-07 0.000000e+00 -1.211542e-08     8.224262e-10 5.725926e-10 -1.716017e-09
14.364463     -1.427930e-08 1.595110e-10 4.650022e-09     -1.429641e-08 0.000000e+00 4.182029e-09     1.711173e-11 1.595110e-10 4.679936e-10
