# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.697248e-12 0.000000e+00 1.692555e-12 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 1.964940e-10 1.986415e-10 2.242249e-12 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 1.792281e-05 1.792281e-05 8.822972e-13 1
3.250000 4.316367e-05 4.316367e-05 2.182542e-12 1495
3.750000 4.850361e-05 4.850361e-05 2.606586e-12 28507
4.250000 5.494446e-05 5.494446e-05 2.823308e-12 44709
4.750000 6.125209e-05 6.125209e-05 2.872787e-12 45166
5.250000 6.470397e-05 6.470397e-05 2.974972e-12 45329
5.750000 6.494069e-05 6.494069e-05 3.012608e-12 45291
6.250000 6.511032e-05 6.511032e-05 3.045339e-12 45252
6.750000 6.487234e-05 6.487234e-05 3.061850e-12 45367
7.250000 6.501528e-05 6.501528e-05 3.082350e-12 45320
7.750000 6.496712e-05 6.496712e-05 3.080275e-12 45240
8.250000 6.494770e-05 6.494770e-05 3.064460e-12 45297
8.750000 6.512074e-05 6.512074e-05 3.050796e-12 45228
9.250000 6.497038e-05 6.497038e-05 3.012378e-12 45327
9.750000 6.433537e-05 6.433537e-05 2.958653e-12 45133
10.250000 6.105806e-05 6.105806e-05 2.908750e-12 45374
10.750000 5.469387e-05 5.469387e-05 2.874269e-12 44670
11.250000 4.847730e-05 4.847730e-05 2.633830e-12 26998
11.750000 4.239866e-05 4.239866e-05 2.265308e-12 1483
12.250000 4.340255e-05 4.340255e-05 2.510001e-12 4
12.750000 6.041073e-06 6.041073e-06 1.067406e-13 1
13.250000 1.481859e-07 1.481849e-07 1.155364e-12 1
13.750000 3.607663e-12 0.000000e+00 3.608496e-12 1
14.250000 1.395499e-12 0.000000e+00 1.397980e-12 1
14.750000 1.908470e-12 0.000000e+00 1.907650e-12 1
