# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.634286e-05 4.044813e-05 4.505273e-05 13
3.750000 2.003192e-05 5.028389e-05 5.367108e-05 576
4.250000 2.301850e-05 5.659594e-05 6.113406e-05 909
4.750000 2.507914e-05 5.624462e-05 6.201825e-05 908
5.250000 2.711528e-05 5.492027e-05 6.177106e-05 896
5.750000 2.680387e-05 5.650181e-05 6.305583e-05 912
6.250000 2.701053e-05 5.742836e-05 6.399474e-05 903
6.750000 2.774754e-05 5.672907e-05 6.351690e-05 906
7.250000 2.676062e-05 5.692268e-05 6.261517e-05 891
7.750000 2.673299e-05 5.678983e-05 6.404964e-05 920
8.250000 2.734260e-05 5.677615e-05 6.344390e-05 911
8.750000 2.726936e-05 5.644463e-05 6.201880e-05 922
9.250000 2.730440e-05 5.854807e-05 6.428344e-05 901
9.750000 2.637073e-05 5.570263e-05 6.183376e-05 879
10.250000 2.550048e-05 5.544519e-05 6.115929e-05 909
10.750000 2.273207e-05 5.460274e-05 5.895205e-05 894
11.250000 1.979277e-05 4.881327e-05 5.293323e-05 552
11.750000 1.940859e-05 4.245919e-05 4.506259e-05 22
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
