# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.488935e-05    6.740033e-07 9.488695e-05 1.701617e-17
1.596051 9.489360e-05    1.130524e-06 9.488686e-05 -1.739236e-18
2.660086 9.640812e-05    1.535507e-05 9.517737e-05 1.511054e-14
3.724120 2.237648e-04    2.913397e-05 2.218530e-04 3.118221e-12
4.788154 2.827359e-04    3.820882e-05 2.801436e-04 -7.293078e-13
5.852189 2.840537e-04    4.055371e-05 2.811427e-04 7.300057e-13
6.916223 2.842820e-04    4.061092e-05 2.813670e-04 -3.705771e-13
7.980257 2.827637e-04    4.062401e-05 2.798245e-04 3.248189e-12
9.044291 2.849129e-04    4.060542e-05 2.820054e-04 -4.991599e-13
10.108326 2.851105e-04    3.837358e-05 2.825164e-04 -4.498194e-14
11.172360 2.357085e-04    2.928355e-05 2.338797e-04 1.291391e-12
12.236394 9.648182e-05    1.557154e-05 9.521734e-05 -7.269873e-14
13.300429 9.489149e-05    9.325293e-07 9.488691e-05 -9.375051e-17
14.364463 9.489040e-05    8.181977e-07 9.488687e-05 -7.180388e-19
