# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     1.473000e-08 1.267334e-09 -3.827842e-10     1.404382e-08 0.000000e+00 -1.262753e-09     6.861730e-10 1.267334e-09 8.799683e-10
1.596051     7.297038e-08 1.957198e-11 -3.832299e-09     7.298127e-08 0.000000e+00 -3.850951e-09     -1.089643e-11 1.957198e-11 1.865232e-11
2.660086     7.495967e-08 -9.049247e-09 -1.875667e-07     6.271246e-08 0.000000e+00 -1.384972e-07     1.224721e-08 -9.049247e-09 -4.906943e-08
3.724120     -3.672961e-06 2.934940e-06 3.112357e-07     -4.814224e-07 0.000000e+00 1.720133e-07     -3.191539e-06 2.934940e-06 1.392224e-07
4.788154     2.380286e-06 1.886143e-07 8.355502e-07     8.617676e-08 0.000000e+00 -4.410278e-07     2.294109e-06 1.886143e-07 1.276578e-06
5.852189     1.103649e-06 1.172999e-06 -5.935846e-07     3.877948e-07 0.000000e+00 -3.186474e-07     7.158547e-07 1.172999e-06 -2.749372e-07
6.916223     3.542013e-07 -1.721112e-06 1.075712e-07     -1.044788e-07 0.000000e+00 4.289554e-07     4.586801e-07 -1.721112e-06 -3.213841e-07
7.980257     -2.188060e-07 -1.359493e-06 -3.560679e-06     -9.157806e-09 0.000000e+00 -5.369823e-07     -2.096482e-07 -1.359493e-06 -3.023697e-06
9.044291     6.789182e-07 -2.319141e-06 -1.394885e-06     -1.351084e-07 0.000000e+00 9.398044e-08     8.140266e-07 -2.319141e-06 -1.488865e-06
10.108326     7.271198e-07 4.759430e-07 1.055393e-06     2.260334e-07 0.000000e+00 -1.159537e-07     5.010864e-07 4.759430e-07 1.171346e-06
11.172360     -1.831547e-07 -2.066714e-06 -1.962212e-06     -3.387838e-09 0.000000e+00 -4.183835e-07     -1.797669e-07 -2.066714e-06 -1.543828e-06
12.236394     2.178739e-07 4.921245e-08 -1.763699e-08     -1.057611e-07 0.000000e+00 -5.627432e-08     3.236350e-07 4.921245e-08 3.863733e-08
13.300429     -6.515510e-08 5.737475e-10 -6.022438e-09     -6.597845e-08 0.000000e+00 -4.304824e-09     8.233556e-10 5.737475e-10 -1.717614e-09
14.364463     -9.637104e-09 1.595101e-10 5.426705e-11     -9.654341e-09 0.000000e+00 -4.141445e-10     1.723743e-11 1.595101e-10 4.684115e-10
