# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 4.827833e-05 1.719045e-05 4.598009e-05 98
3.750000 5.262816e-05 2.016088e-05 4.840709e-05 2893
4.250000 5.712725e-05 2.290538e-05 5.253599e-05 4460
4.750000 5.943602e-05 2.554854e-05 5.348342e-05 4548
5.250000 6.040878e-05 2.714072e-05 5.384705e-05 4513
5.750000 6.128266e-05 2.757100e-05 5.438343e-05 4535
6.250000 6.108295e-05 2.741912e-05 5.440434e-05 4511
6.750000 6.149605e-05 2.739547e-05 5.454003e-05 4552
7.250000 6.024197e-05 2.704480e-05 5.383838e-05 4515
7.750000 5.969399e-05 2.713279e-05 5.293659e-05 4547
8.250000 5.961543e-05 2.730614e-05 5.266895e-05 4570
8.750000 5.925233e-05 2.728983e-05 5.284421e-05 4506
9.250000 6.095915e-05 2.754163e-05 5.467712e-05 4531
9.750000 5.982228e-05 2.657415e-05 5.362140e-05 4486
10.250000 5.854573e-05 2.562007e-05 5.295879e-05 4543
10.750000 5.681266e-05 2.289665e-05 5.193597e-05 4463
11.250000 5.332250e-05 2.028191e-05 4.915672e-05 2727
11.750000 4.887575e-05 1.733864e-05 4.576904e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
