# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 4.415571e-05 1.311880e-08 4.415633e-05 41
1.500000 3.944866e-05 1.196249e-08 3.945035e-05 32
2.500000 4.524162e-05 1.047735e-08 4.524179e-05 31
3.500000 4.285801e-05 1.213334e-08 4.285830e-05 41
4.500000 3.884759e-05 1.406856e-08 3.884844e-05 46
5.500000 4.511602e-05 1.336515e-08 4.511858e-05 33
6.500000 4.929881e-05 1.395467e-08 4.929875e-05 49
7.500000 7.722492e-05 1.335667e-08 7.722437e-05 48
8.500000 1.240067e-04 1.649411e-08 1.240084e-04 38
9.500000 1.458996e-04 2.140075e-08 1.458967e-04 203
10.500000 1.582046e-04 2.599461e-08 1.582034e-04 648
11.500000 1.787344e-04 2.866035e-08 1.787345e-04 807
12.500000 1.990571e-04 2.754328e-08 1.990566e-04 779
13.500000 2.164786e-04 2.705887e-08 2.164775e-04 793
14.500000 2.063156e-04 2.829746e-08 2.063143e-04 836
15.500000 2.067167e-04 2.899418e-08 2.067157e-04 796
16.500000 2.072906e-04 2.961825e-08 2.072893e-04 794
17.500000 2.031879e-04 3.074810e-08 2.031855e-04 828
18.500000 2.140745e-04 3.106390e-08 2.140734e-04 798
19.500000 2.173614e-04 3.061519e-08 2.173605e-04 762
20.500000 2.173061e-04 2.814057e-08 2.173059e-04 773
21.500000 2.140309e-04 2.804397e-08 2.140302e-04 822
22.500000 2.089695e-04 2.890670e-08 2.089681e-04 829
23.500000 2.122021e-04 2.939981e-08 2.122019e-04 832
24.500000 2.061441e-04 2.773119e-08 2.061426e-04 791
25.500000 1.995108e-04 2.820589e-08 1.995101e-04 812
26.500000 2.054913e-04 2.876273e-08 2.054906e-04 750
27.500000 1.925625e-04 2.689177e-08 1.925622e-04 819
28.500000 1.720903e-04 2.761322e-08 1.720900e-04 768
29.500000 1.575766e-04 2.672331e-08 1.575749e-04 663
30.500000 1.439523e-04 2.152591e-08 1.439501e-04 169
31.500000 9.985673e-05 1.949086e-08 9.985490e-05 40
32.500000 6.751844e-05 1.521165e-08 6.751858e-05 30
33.500000 4.440351e-05 1.650605e-08 4.440313e-05 38
34.500000 4.746219e-05 1.645237e-08 4.746208e-05 44
35.500000 4.520286e-05 1.144753e-08 4.520223e-05 48
36.500000 4.607638e-05 1.365753e-08 4.607746e-05 39
37.500000 4.645200e-05 1.229999e-08 4.645248e-05 45
38.500000 4.249040e-05 1.199893e-08 4.249194e-05 44
39.500000 4.240748e-05 1.100674e-08 4.240806e-05 41
