# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 4.415571e-05 1.207635e-04 1.266221e-04 41
1.500000 3.944866e-05 1.232264e-04 1.329359e-04 32
2.500000 4.524162e-05 1.147952e-04 1.236345e-04 31
3.500000 4.285801e-05 1.212014e-04 1.293028e-04 41
4.500000 3.884759e-05 1.195397e-04 1.241559e-04 46
5.500000 4.511602e-05 1.085834e-04 1.116766e-04 33
6.500000 4.929881e-05 1.104521e-04 1.144626e-04 49
7.500000 7.722492e-05 1.245972e-04 1.439659e-04 48
8.500000 1.240067e-04 1.230138e-04 1.786266e-04 38
9.500000 1.458996e-04 2.001704e-04 2.521649e-04 203
10.500000 1.582046e-04 2.442712e-04 2.916948e-04 648
11.500000 1.787344e-04 2.708353e-04 3.232185e-04 807
12.500000 1.990571e-04 2.420206e-04 3.122408e-04 779
13.500000 2.164786e-04 2.561166e-04 3.318515e-04 793
14.500000 2.063156e-04 2.584060e-04 3.314602e-04 836
15.500000 2.067167e-04 2.712246e-04 3.394838e-04 796
16.500000 2.072906e-04 2.777000e-04 3.489121e-04 794
17.500000 2.031879e-04 2.686882e-04 3.327118e-04 828
18.500000 2.140745e-04 2.575118e-04 3.290196e-04 798
19.500000 2.173614e-04 2.687116e-04 3.463528e-04 762
20.500000 2.173061e-04 2.722917e-04 3.484838e-04 773
21.500000 2.140309e-04 2.727931e-04 3.474846e-04 822
22.500000 2.089695e-04 2.754799e-04 3.469176e-04 829
23.500000 2.122021e-04 2.684228e-04 3.383628e-04 832
24.500000 2.061441e-04 2.755821e-04 3.441755e-04 791
25.500000 1.995108e-04 2.609317e-04 3.276951e-04 812
26.500000 2.054913e-04 2.577907e-04 3.288119e-04 750
27.500000 1.925625e-04 2.563108e-04 3.251886e-04 819
28.500000 1.720903e-04 2.627517e-04 3.150244e-04 768
29.500000 1.575766e-04 2.428487e-04 2.893341e-04 663
30.500000 1.439523e-04 1.847767e-04 2.280288e-04 169
31.500000 9.985673e-05 1.355727e-04 1.716515e-04 40
32.500000 6.751844e-05 1.151090e-04 1.332591e-04 30
33.500000 4.440351e-05 1.137998e-04 1.244066e-04 38
34.500000 4.746219e-05 1.270342e-04 1.356663e-04 44
35.500000 4.520286e-05 1.077284e-04 1.149935e-04 48
36.500000 4.607638e-05 1.202191e-04 1.215868e-04 39
37.500000 4.645200e-05 1.220733e-04 1.366956e-04 45
38.500000 4.249040e-05 1.074925e-04 1.115115e-04 44
39.500000 4.240748e-05 1.252446e-04 1.236244e-04 41
