# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 5.149078e-05 3.887125e-05 6.358769e-05 46
1.500000 4.202287e-05 4.052793e-05 6.008088e-05 43
2.500000 5.381753e-05 2.442331e-05 5.832514e-05 31
3.500000 4.999593e-05 3.289732e-05 5.642397e-05 39
4.500000 4.334970e-05 4.008489e-05 6.401837e-05 33
5.500000 3.957427e-05 3.664542e-05 5.510077e-05 39
6.500000 4.853029e-05 3.238595e-05 5.949467e-05 48
7.500000 7.288186e-05 2.711487e-05 8.182853e-05 37
8.500000 1.009644e-04 3.576673e-05 1.093579e-04 29
9.500000 1.419438e-04 8.655976e-05 1.753190e-04 166
10.500000 1.623364e-04 1.325608e-04 2.087030e-04 694
11.500000 1.831912e-04 1.468977e-04 2.345611e-04 755
12.500000 1.934917e-04 1.510688e-04 2.434400e-04 775
13.500000 2.115691e-04 1.471098e-04 2.551380e-04 847
14.500000 2.165918e-04 1.584434e-04 2.646565e-04 804
15.500000 2.100028e-04 1.540711e-04 2.591250e-04 833
16.500000 2.104176e-04 1.574341e-04 2.646736e-04 828
17.500000 2.150344e-04 1.467763e-04 2.557256e-04 808
18.500000 2.028930e-04 1.475508e-04 2.504666e-04 774
19.500000 2.073786e-04 1.443233e-04 2.415899e-04 746
20.500000 2.028531e-04 1.505337e-04 2.519659e-04 802
21.500000 2.035870e-04 1.550508e-04 2.551944e-04 771
22.500000 2.114652e-04 1.561013e-04 2.638338e-04 824
23.500000 2.133802e-04 1.560842e-04 2.634003e-04 775
24.500000 2.106124e-04 1.484070e-04 2.574880e-04 802
25.500000 2.055498e-04 1.599390e-04 2.652285e-04 822
26.500000 2.089217e-04 1.579985e-04 2.618407e-04 802
27.500000 2.072132e-04 1.619379e-04 2.628940e-04 797
28.500000 1.877318e-04 1.550750e-04 2.482457e-04 793
29.500000 1.646388e-04 1.435879e-04 2.189685e-04 681
30.500000 1.449783e-04 8.759785e-05 1.659826e-04 170
31.500000 1.198467e-04 4.647876e-05 1.249723e-04 35
32.500000 9.076492e-05 4.176334e-05 1.015012e-04 47
33.500000 4.903899e-05 2.897539e-05 5.905750e-05 52
34.500000 4.675267e-05 2.981089e-05 5.277293e-05 51
35.500000 5.422045e-05 3.846671e-05 6.758224e-05 40
36.500000 5.210299e-05 4.393902e-05 6.311147e-05 41
37.500000 5.088030e-05 3.209622e-05 6.076715e-05 35
38.500000 5.166748e-05 3.209445e-05 5.931153e-05 51
39.500000 4.618235e-05 3.907269e-05 6.140485e-05 34
