# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.487805 -7.897340e-07     -7.897340e-07 2.168404e-19  -3.958112e-06 -3.794708e-18  3.937554e-07 -9.866240e-18
1.463415 2.821260e-06     2.821260e-06 -7.575358e-18  -4.257758e-06 7.730000e-18  1.217465e-06 -1.725008e-17
2.439024 2.262799e-06     2.262799e-06 1.345146e-17  -7.375001e-08 -3.043682e-18  -4.281831e-07 -5.505672e-20
3.414634 9.403660e-07     9.403660e-07 -6.752381e-18  -4.834689e-07 3.714711e-18  -2.363862e-06 1.823733e-18
4.390244 -3.875713e-06     -3.875713e-06 -8.275779e-18  -5.437018e-07 -9.372808e-19  -9.744623e-08 5.547639e-18
5.365854 -2.871305e-07     -2.871305e-07 -2.509193e-17  -4.097395e-07 1.010854e-17  1.626799e-06 -1.656349e-17
6.341463 -4.812400e-07     -4.812400e-07 2.124757e-17  -9.597940e-07 3.245735e-18  2.053023e-06 -1.373274e-17
7.317073 -3.508978e-06     -3.508978e-06 -1.249123e-18  -2.393205e-07 1.195184e-19  -7.224692e-07 -1.731576e-18
8.292683 -1.125273e-06     -1.125273e-06 -2.160763e-17  3.911275e-06 1.381735e-17  -1.899594e-06 -1.216684e-17
9.268293 -2.838547e-08     -2.838547e-08 -1.500108e-17  -3.848860e-07 -3.434415e-18  -1.543846e-06 -6.482150e-18
10.243902 -1.119023e-05     -1.119023e-05 -1.264450e-17  2.242434e-06 1.393042e-17  6.778445e-06 -4.537185e-19
11.219512 5.425618e-06     5.425618e-06 -1.178036e-17  8.471965e-06 1.267637e-17  -2.819973e-06 2.271244e-17
12.195122 1.433362e-07     1.433362e-07 1.333085e-17  5.962096e-06 1.399856e-17  -1.017144e-05 5.291221e-17
13.170732 5.233737e-06     5.233737e-06 7.031433e-18  1.320049e-05 1.621991e-18  -2.170793e-05 3.079799e-17
14.146341 4.885730e-06     4.885730e-06 3.857216e-18  8.399211e-06 2.603736e-17  -1.137483e-05 4.518614e-17
15.121951 5.915833e-06     5.915833e-06 6.418992e-17  -1.907748e-06 2.691166e-17  3.378827e-06 1.304727e-17
16.097561 1.857440e-05     1.857440e-05 6.072260e-18  2.951065e-06 7.697055e-18  -3.186791e-06 1.163335e-17
17.073171 -5.369876e-06     -5.369876e-06 -3.710554e-18  2.730668e-06 -1.343393e-17  -2.041228e-06 2.395440e-17
18.048780 3.020442e-07     3.020442e-07 -1.364479e-17  -1.776017e-06 -2.115768e-18  -5.604546e-06 -5.983230e-18
19.024390 -1.079374e-05     -1.079374e-05 -1.849631e-17  -1.488467e-06 -1.156101e-17  -1.066207e-05 1.323012e-17
20.000000 -7.773370e-06     -7.773370e-06 -2.545568e-17  -6.825560e-06 -3.060830e-17  -1.400921e-05 -1.523883e-17
20.975610 -6.038600e-06     -6.038600e-06 -1.548488e-17  -9.895920e-06 -3.593734e-17  -1.357944e-05 4.085680e-18
21.951220 -4.296548e-06     -4.296548e-06 2.904832e-17  -2.494694e-06 -3.067006e-17  -4.424067e-06 2.225023e-17
22.926829 4.963179e-06     4.963179e-06 -3.639251e-18  -3.456161e-06 -2.527496e-17  -9.367497e-07 8.687678e-18
23.902439 -5.884621e-07     -5.884621e-07 -8.277537e-18  -1.956773e-06 -1.065313e-17  9.549565e-06 -4.966488e-18
24.878049 -6.428686e-07     -6.428686e-07 -4.912573e-18  -1.655031e-06 6.766171e-18  5.270908e-06 -1.219404e-18
25.853659 -7.152832e-06     -7.152832e-06 3.544353e-17  1.299223e-06 1.572987e-18  2.216689e-07 2.041759e-18
26.829268 2.606747e-06     2.606747e-06 7.701127e-18  4.782872e-06 1.878432e-17  -3.145375e-06 -1.705706e-17
27.804878 7.061647e-06     7.061647e-06 -3.915690e-17  3.387754e-06 5.161850e-18  -1.878703e-06 -2.500382e-17
28.780488 2.287622e-06     2.287622e-06 3.965816e-18  3.260739e-06 -1.815401e-17  -5.507317e-07 -2.423711e-17
29.756098 2.906005e-06     2.906005e-06 9.945722e-19  4.789439e-06 4.880867e-18  -3.377133e-06 -2.921876e-17
30.731707 7.889479e-07     7.889479e-07 1.459975e-17  1.797203e-06 -1.855961e-17  3.451167e-06 -1.504764e-17
31.707317 -4.335417e-06     -4.335417e-06 -1.903944e-17  2.987124e-07 -2.364740e-17  -4.101352e-07 -1.500898e-17
32.682927 -3.372961e-07     -3.372961e-07 9.839049e-18  -1.007365e-06 -5.192205e-18  -6.696195e-07 -1.748028e-17
33.658537 -1.715654e-06     -1.715654e-06 2.138213e-17  -1.785703e-06 -8.097360e-18  -1.226322e-06 -2.302857e-17
34.634146 -2.727841e-06     -2.727841e-06 -3.092864e-18  4.267618e-07 -8.885996e-18  -1.088368e-06 -1.860488e-17
35.609756 1.802697e-06     1.802697e-06 -2.006010e-17  1.244607e-07 5.089152e-18  -4.292054e-07 1.663360e-17
36.585366 3.744642e-07     3.744642e-07 -5.555601e-18  -2.006227e-06 -3.059126e-18  -1.337778e-06 -2.029929e-17
37.560976 9.124565e-07     9.124565e-07 1.125885e-17  -1.111054e-06 -2.345108e-17  -2.997634e-06 4.742142e-18
38.536585 2.981385e-06     2.981385e-06 5.783617e-18  -2.298308e-06 1.616551e-18  -1.748913e-06 1.214665e-17
39.512195 -1.310834e-07     -1.310834e-07 2.109028e-17  -4.208971e-06 -7.210078e-18  -1.508969e-06 1.037276e-17
