# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.500000 4.552011e-05    4.552010e-05 1.285824e-08 4.796949e-16
1.500000 4.581101e-05    4.581106e-05 1.307798e-08 -4.671611e-15
2.500000 4.534848e-05    4.534845e-05 1.322969e-08 2.668641e-15
3.500000 4.730476e-05    4.730475e-05 1.339389e-08 -6.338486e-17
4.500000 4.777916e-05    4.777904e-05 1.388420e-08 1.100969e-14
5.500000 4.808208e-05    4.808208e-05 1.446817e-08 1.381261e-16
6.500000 5.357174e-05    5.357176e-05 1.508045e-08 -1.647030e-15
7.500000 7.997235e-05    7.997233e-05 1.602319e-08 1.825892e-15
8.500000 1.132709e-04    1.132709e-04 1.725997e-08 1.647669e-15
9.500000 1.394437e-04    1.394437e-04 2.098046e-08 1.450075e-15
10.500000 1.623156e-04    1.623157e-04 2.717913e-08 -2.549390e-14
11.500000 1.817769e-04    1.817770e-04 2.990272e-08 -1.667816e-14
12.500000 1.989884e-04    1.989885e-04 3.031658e-08 -1.373708e-14
13.500000 2.092357e-04    2.092356e-04 3.079818e-08 4.113683e-14
14.500000 2.097456e-04    2.097455e-04 3.125097e-08 2.551697e-14
15.500000 2.091627e-04    2.091628e-04 3.138777e-08 -2.622012e-14
16.500000 2.101074e-04    2.101073e-04 3.179192e-08 2.551282e-14
17.500000 2.101810e-04    2.101810e-04 3.177520e-08 -1.497743e-14
18.500000 2.102521e-04    2.102520e-04 3.161078e-08 6.315778e-15
19.500000 2.101454e-04    2.101453e-04 3.179346e-08 2.691969e-14
20.500000 2.103969e-04    2.103969e-04 3.182467e-08 -3.151646e-15
21.500000 2.097486e-04    2.097485e-04 3.171953e-08 1.391289e-14
22.500000 2.093685e-04    2.093685e-04 3.185664e-08 6.463055e-15
23.500000 2.092717e-04    2.092717e-04 3.170749e-08 1.704172e-14
24.500000 2.084466e-04    2.084466e-04 3.152408e-08 8.247489e-15
25.500000 2.084985e-04    2.084985e-04 3.117784e-08 1.528213e-14
26.500000 2.071608e-04    2.071608e-04 3.070069e-08 5.498634e-15
27.500000 1.970553e-04    1.970553e-04 3.037367e-08 5.589549e-15
28.500000 1.802768e-04    1.802768e-04 2.975572e-08 9.495258e-15
29.500000 1.610760e-04    1.610760e-04 2.701565e-08 -1.059848e-15
30.500000 1.396977e-04    1.396977e-04 2.090871e-08 -1.043344e-15
31.500000 1.132072e-04    1.132072e-04 1.700788e-08 -5.858963e-15
32.500000 7.905036e-05    7.905037e-05 1.592669e-08 -1.294075e-15
33.500000 5.320101e-05    5.320101e-05 1.508335e-08 5.080121e-16
34.500000 4.848015e-05    4.848015e-05 1.431953e-08 -2.270197e-16
35.500000 4.592830e-05    4.592825e-05 1.384519e-08 4.423384e-15
36.500000 4.503051e-05    4.503052e-05 1.344559e-08 -9.893811e-16
37.500000 4.583737e-05    4.583738e-05 1.324434e-08 -1.104728e-15
38.500000 4.580857e-05    4.580854e-05 1.302810e-08 3.116367e-15
39.500000 4.567924e-05    4.567924e-05 1.291941e-08 -9.289607e-16
