# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.500000 1.275773e-04    4.552010e-05 1.191090e-04 1.695334e-11
1.500000 1.265707e-04    4.581106e-05 1.179446e-04 1.055868e-11
2.500000 1.257311e-04    4.534845e-05 1.172699e-04 -4.104797e-13
3.500000 1.273602e-04    4.730475e-05 1.182437e-04 1.316352e-12
4.500000 1.267600e-04    4.777904e-05 1.174294e-04 -4.408061e-12
5.500000 1.269133e-04    4.808208e-05 1.174588e-04 -1.451641e-12
6.500000 1.306558e-04    5.357176e-05 1.191747e-04 -1.603656e-12
7.500000 1.448365e-04    7.997233e-05 1.207550e-04 2.600124e-13
8.500000 1.694521e-04    1.132709e-04 1.260637e-04 -8.323768e-12
9.500000 2.209064e-04    1.394437e-04 1.713467e-04 -4.618472e-12
10.500000 2.874490e-04    1.623157e-04 2.373607e-04 -5.957401e-11
11.500000 3.213221e-04    1.817770e-04 2.650280e-04 -3.481495e-11
12.500000 3.320736e-04    1.989885e-04 2.660343e-04 -9.778687e-11
13.500000 3.410660e-04    2.092356e-04 2.694337e-04 -4.806045e-11
14.500000 3.395945e-04    2.097455e-04 2.673293e-04 -1.336900e-10
15.500000 3.382227e-04    2.091628e-04 2.659262e-04 -7.121050e-11
16.500000 3.410090e-04    2.101073e-04 2.685627e-04 1.612695e-11
17.500000 3.418339e-04    2.101810e-04 2.696914e-04 -5.909788e-11
18.500000 3.436781e-04    2.102520e-04 2.718519e-04 5.237720e-12
19.500000 3.423786e-04    2.101453e-04 2.700776e-04 1.201277e-10
20.500000 3.389769e-04    2.103969e-04 2.659856e-04 -1.098177e-10
21.500000 3.414957e-04    2.097485e-04 2.695038e-04 -7.476351e-12
22.500000 3.392402e-04    2.093685e-04 2.668986e-04 1.387803e-11
23.500000 3.424694e-04    2.092717e-04 2.710956e-04 -2.173076e-12
24.500000 3.400542e-04    2.084466e-04 2.686761e-04 4.672042e-14
25.500000 3.425134e-04    2.084985e-04 2.716905e-04 2.812330e-11
26.500000 3.423720e-04    2.071608e-04 2.727320e-04 -7.975857e-11
27.500000 3.335712e-04    1.970553e-04 2.693848e-04 -1.292155e-10
28.500000 3.210733e-04    1.802768e-04 2.658152e-04 -6.940160e-11
29.500000 2.883752e-04    1.610760e-04 2.391375e-04 2.802305e-11
30.500000 2.199054e-04    1.396977e-04 1.698584e-04 -8.929460e-12
31.500000 1.688808e-04    1.132072e-04 1.253179e-04 2.929654e-13
32.500000 1.437015e-04    7.905037e-05 1.200029e-04 4.666021e-13
33.500000 1.300549e-04    5.320101e-05 1.186922e-04 -3.919247e-12
34.500000 1.280850e-04    4.848015e-05 1.185814e-04 -6.114734e-12
35.500000 1.273369e-04    4.592825e-05 1.187812e-04 -3.690790e-12
36.500000 1.265432e-04    4.503052e-05 1.182551e-04 1.165740e-12
37.500000 1.264102e-04    4.583738e-05 1.178286e-04 -5.093815e-12
38.500000 1.271956e-04    4.580854e-05 1.186089e-04 1.222331e-11
39.500000 1.256773e-04    4.567924e-05 1.170477e-04 8.014819e-12
