# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.500000 5.764382e-05    4.552010e-05 3.512506e-05 1.696086e-11
1.500000 5.676891e-05    4.581106e-05 3.336904e-05 1.056314e-11
2.500000 5.543363e-05    4.534845e-05 3.188757e-05 -4.114393e-13
3.500000 5.829845e-05    4.730475e-05 3.405366e-05 1.317465e-12
4.500000 5.798353e-05    4.777904e-05 3.291906e-05 -4.411684e-12
5.500000 5.759781e-05    4.808208e-05 3.173442e-05 -1.451802e-12
6.500000 6.373729e-05    5.357176e-05 3.455595e-05 -1.604634e-12
7.500000 8.836652e-05    7.997233e-05 3.758735e-05 2.597063e-13
8.500000 1.212690e-04    1.132709e-04 4.340741e-05 -8.334247e-12
9.500000 1.632099e-04    1.394437e-04 8.483821e-05 -4.620307e-12
10.500000 2.106311e-04    1.623157e-04 1.344569e-04 -5.958009e-11
11.500000 2.377383e-04    1.817770e-04 1.533345e-04 -3.481446e-11
12.500000 2.512691e-04    1.989885e-04 1.537452e-04 -9.786086e-11
13.500000 2.610626e-04    2.092356e-04 1.562762e-04 -4.811655e-11
14.500000 2.612331e-04    2.097455e-04 1.561517e-04 -1.337896e-10
15.500000 2.596512e-04    2.091628e-04 1.540808e-04 -7.122688e-11
16.500000 2.613692e-04    2.101073e-04 1.554114e-04 1.607657e-11
17.500000 2.612200e-04    2.101810e-04 1.553028e-04 -5.912897e-11
18.500000 2.626796e-04    2.102520e-04 1.574465e-04 5.236542e-12
19.500000 2.625408e-04    2.101453e-04 1.569918e-04 1.201842e-10
20.500000 2.602450e-04    2.103969e-04 1.535270e-04 -1.099053e-10
21.500000 2.618134e-04    2.097485e-04 1.567141e-04 -7.493554e-12
22.500000 2.601823e-04    2.093685e-04 1.544208e-04 1.387993e-11
23.500000 2.622660e-04    2.092717e-04 1.580853e-04 -2.173219e-12
24.500000 2.602952e-04    2.084466e-04 1.558959e-04 5.553768e-14
25.500000 2.621068e-04    2.084985e-04 1.587458e-04 2.812385e-11
26.500000 2.610349e-04    2.071608e-04 1.590706e-04 -7.979901e-11
27.500000 2.508136e-04    1.970553e-04 1.555827e-04 -1.292919e-10
28.500000 2.366823e-04    1.802768e-04 1.535846e-04 -6.943338e-11
29.500000 2.106968e-04    1.610760e-04 1.357188e-04 2.804917e-11
30.500000 1.627996e-04    1.396977e-04 8.364920e-05 -8.935079e-12
31.500000 1.210502e-04    1.132072e-04 4.286013e-05 2.893198e-13
32.500000 8.707913e-05    7.905037e-05 3.651503e-05 4.668975e-13
33.500000 6.338504e-05    5.320101e-05 3.451430e-05 -3.920243e-12
34.500000 5.930354e-05    4.848015e-05 3.424478e-05 -6.120461e-12
35.500000 5.757753e-05    4.592825e-05 3.477731e-05 -3.693430e-12
36.500000 5.595685e-05    4.503052e-05 3.320021e-05 1.167442e-12
37.500000 5.617366e-05    4.583738e-05 3.255014e-05 -5.096683e-12
38.500000 5.735834e-05    4.580854e-05 3.434129e-05 1.223232e-11
39.500000 5.538721e-05    4.567924e-05 3.119504e-05 8.019002e-12
