# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.500000     -1.656851e-07 9.257903e-07 -6.211178e-06     -7.445970e-07 1.194389e-19 -3.961858e-06     5.789119e-07 9.257903e-07 -2.249320e-06
1.500000     1.996001e-06 -3.582063e-07 -5.938014e-06     2.800318e-06 -6.786860e-18 -4.100859e-06     -8.043165e-07 -3.582063e-07 -1.837155e-06
2.500000     1.988047e-06 -1.737086e-07 -2.243991e-06     2.180146e-06 1.218871e-17 -9.935760e-08     -1.920996e-07 -1.737086e-07 -2.144634e-06
3.500000     1.289403e-06 1.215735e-06 -1.018478e-06     5.189585e-07 -6.885679e-18 -4.887393e-07     7.704443e-07 1.215735e-06 -5.297386e-07
4.500000     -3.044990e-06 1.606014e-06 8.395670e-07     -3.471998e-06 -1.016759e-17 -5.286311e-07     4.270078e-07 1.606014e-06 1.368198e-06
5.500000     -9.483580e-07 2.935851e-06 1.420449e-06     -3.138205e-07 -1.872026e-17 -4.853719e-07     -6.345375e-07 2.935851e-06 1.905821e-06
6.500000     -5.750122e-07 2.288842e-06 -3.505777e-07     -9.732486e-07 1.759185e-17 -8.427168e-07     3.982364e-07 2.288842e-06 4.921391e-07
7.500000     -3.473816e-06 6.472918e-07 -1.559811e-06     -3.062033e-06 -5.066346e-18 5.389167e-07     -4.117828e-07 6.472918e-07 -2.098728e-06
8.500000     -3.257201e-07 2.053697e-06 1.777089e-06     -8.921845e-07 -2.020374e-17 2.998341e-06     5.664644e-07 2.053697e-06 -1.221253e-06
9.500000     -1.760819e-06 3.481500e-06 8.698448e-07     -2.679322e-06 -1.444139e-17 2.391021e-07     9.185030e-07 3.481500e-06 6.307427e-07
10.500000     -2.111225e-06 4.521818e-07 4.502441e-06     -6.828564e-06 -1.241766e-17 3.877688e-06     4.717338e-06 4.521818e-07 6.247529e-07
11.500000     1.988959e-06 -2.018277e-06 6.471256e-06     3.906961e-06 -4.560884e-18 7.750377e-06     -1.918002e-06 -2.018277e-06 -1.279121e-06
12.500000     -3.355305e-07 7.559961e-06 2.710836e-06     1.734086e-06 1.136228e-17 8.224093e-06     -2.069616e-06 7.559961e-06 -5.513257e-06
13.500000     1.520461e-05 1.685485e-05 5.045286e-06     5.116285e-06 5.960135e-18 1.158006e-05     1.008833e-05 1.685485e-05 -6.534772e-06
14.500000     -6.157549e-06 6.642833e-06 3.193304e-06     5.259143e-06 2.572784e-17 4.662934e-06     -1.141669e-05 6.642833e-06 -1.469630e-06
15.500000     7.547403e-06 1.055920e-06 7.565146e-06     1.082103e-05 4.166932e-17 -2.495734e-08     -3.273627e-06 1.055920e-06 7.590104e-06
16.500000     9.641070e-06 -1.074231e-06 2.800966e-06     8.697389e-06 2.036850e-18 2.860151e-06     9.436811e-07 -1.074231e-06 -5.918511e-08
17.500000     7.964675e-06 6.099830e-06 3.109057e-06     -2.888411e-06 -8.056783e-18 7.589930e-07     1.085309e-05 6.099830e-06 2.350064e-06
18.500000     -5.539243e-06 9.528389e-06 -1.151029e-06     -4.829760e-06 -1.588862e-17 -1.643025e-06     -7.094830e-07 9.528389e-06 4.919960e-07
19.500000     -1.614810e-05 -4.329594e-06 -3.224214e-06     -9.321309e-06 -2.188900e-17 -4.090301e-06     -6.826793e-06 -4.329594e-06 8.660862e-07
20.500000     -3.530605e-06 -4.111879e-06 -4.605294e-06     -6.884301e-06 -2.034565e-17 -8.399119e-06     3.353696e-06 -4.111879e-06 3.793825e-06
21.500000     -6.571832e-06 2.593059e-06 -4.017560e-06     -5.102248e-06 8.451698e-18 -5.917764e-06     -1.469584e-06 2.593059e-06 1.900204e-06
22.500000     6.142469e-06 9.605374e-06 -3.750247e-06     9.120478e-07 1.066156e-17 -3.035519e-06     5.230421e-06 9.605374e-06 -7.147279e-07
23.500000     6.583550e-07 1.822783e-05 -2.842639e-06     1.701589e-06 -6.364245e-18 -2.575270e-06     -1.043234e-06 1.822783e-05 -2.673687e-07
24.500000     -1.164973e-06 1.212279e-05 -1.597021e-06     -6.217861e-07 -6.216497e-18 -1.771956e-06     -5.431866e-07 1.212279e-05 1.749349e-07
25.500000     -7.786513e-06 3.473224e-06 -1.024582e-06     -4.792968e-06 2.081443e-17 2.283048e-07     -2.993545e-06 3.473224e-06 -1.252886e-06
26.500000     -4.364539e-07 6.286493e-07 -7.406368e-06     -6.871105e-07 1.706419e-17 3.607141e-06     2.506566e-07 6.286493e-07 -1.101351e-05
27.500000     4.614030e-08 6.472632e-06 -4.744985e-06     5.669491e-06 -2.451377e-17 3.823728e-06     -5.623351e-06 6.472632e-06 -8.568713e-06
28.500000     4.032964e-06 6.801767e-06 -7.645549e-06     3.660155e-06 -8.431970e-18 3.297256e-06     3.728089e-07 6.801767e-06 -1.094281e-05
29.500000     1.164086e-05 9.502845e-06 2.021230e-06     2.743679e-06 1.774525e-18 4.388155e-06     8.897183e-06 9.502845e-06 -2.366924e-06
30.500000     -2.663297e-06 3.094856e-06 2.763609e-06     1.291749e-06 1.136852e-17 2.507859e-06     -3.955046e-06 3.094856e-06 2.557504e-07
31.500000     -3.276434e-06 1.394889e-06 6.940214e-07     -3.246490e-06 -1.189112e-17 6.171415e-07     -2.994438e-08 1.394889e-06 7.687995e-08
32.500000     -3.143283e-07 5.576488e-07 -2.170048e-06     -1.086944e-06 4.424329e-18 -7.624753e-07     7.726160e-07 5.576488e-07 -1.407572e-06
33.500000     -6.589241e-07 4.770960e-07 -1.226527e-06     -1.491670e-06 1.950637e-17 -1.659223e-06     8.327462e-07 4.770960e-07 4.326958e-07
34.500000     -1.392691e-06 6.965623e-07 4.142591e-07     -2.588666e-06 2.724417e-19 1.225484e-07     1.195975e-06 6.965623e-07 2.917107e-07
