# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.500000 4.851200e-05 4.851282e-05 1.221742e-08 215
1.500000 4.676263e-05 4.676242e-05 1.366137e-08 197
2.500000 5.082733e-05 5.082718e-05 1.274609e-08 186
3.500000 4.959866e-05 4.959845e-05 1.355931e-08 206
4.500000 4.641597e-05 4.641507e-05 1.395777e-08 197
5.500000 4.730256e-05 4.730124e-05 1.409719e-08 210
6.500000 4.869827e-05 4.869883e-05 1.529992e-08 224
7.500000 8.141707e-05 8.141886e-05 1.490319e-08 227
8.500000 1.129889e-04 1.129901e-04 1.740230e-08 193
9.500000 1.458264e-04 1.458273e-04 2.241513e-08 913
10.500000 1.620039e-04 1.620049e-04 2.785106e-08 3304
11.500000 1.804203e-04 1.804207e-04 2.931771e-08 4008
12.500000 1.958904e-04 1.958911e-04 2.891586e-08 3990
13.500000 2.096861e-04 2.096869e-04 2.970661e-08 4029
14.500000 2.132452e-04 2.132459e-04 2.999756e-08 4091
15.500000 2.109812e-04 2.109820e-04 3.037309e-08 4030
16.500000 2.093887e-04 2.093894e-04 3.119193e-08 4045
17.500000 2.097554e-04 2.097569e-04 3.139777e-08 4003
18.500000 2.074375e-04 2.074386e-04 3.122412e-08 3932
19.500000 2.124150e-04 2.124154e-04 3.142789e-08 3871
20.500000 2.108561e-04 2.108571e-04 3.127837e-08 3985
21.500000 2.119615e-04 2.119629e-04 3.172681e-08 4031
22.500000 2.106688e-04 2.106693e-04 3.033792e-08 4030
23.500000 2.120913e-04 2.120921e-04 3.093354e-08 4028
24.500000 2.081273e-04 2.081283e-04 2.997337e-08 4029
25.500000 2.051212e-04 2.051220e-04 3.070266e-08 4003
26.500000 2.054360e-04 2.054373e-04 2.999142e-08 3985
27.500000 1.970971e-04 1.970975e-04 2.899181e-08 3943
28.500000 1.799341e-04 1.799349e-04 2.784368e-08 3916
29.500000 1.611206e-04 1.611217e-04 2.578925e-08 3274
30.500000 1.436551e-04 1.436556e-04 2.132033e-08 865
31.500000 1.123723e-04 1.123724e-04 1.884681e-08 198
32.500000 7.893824e-05 7.893761e-05 1.555589e-08 187
33.500000 4.815927e-05 4.815977e-05 1.563436e-08 209
34.500000 4.424667e-05 4.424690e-05 1.576975e-08 220
35.500000 4.825345e-05 4.825435e-05 1.329143e-08 191
36.500000 4.691192e-05 4.691247e-05 1.312754e-08 205
37.500000 4.507565e-05 4.507615e-05 1.232954e-08 201
38.500000 4.489448e-05 4.489438e-05 1.265210e-08 214
39.500000 4.606568e-05 4.606591e-05 1.284071e-08 215
