# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.500000 1.288106e-04 4.851282e-05 1.181379e-04 215
1.500000 1.343228e-04 4.676242e-05 1.233740e-04 197
2.500000 1.227943e-04 5.082718e-05 1.143177e-04 186
3.500000 1.327989e-04 4.959845e-05 1.234012e-04 206
4.500000 1.275115e-04 4.641507e-05 1.173957e-04 197
5.500000 1.308410e-04 4.730124e-05 1.225800e-04 210
6.500000 1.256828e-04 4.869883e-05 1.147458e-04 224
7.500000 1.507928e-04 8.141886e-05 1.232546e-04 227
8.500000 1.666956e-04 1.129901e-04 1.225839e-04 193
9.500000 2.325250e-04 1.458273e-04 1.822973e-04 913
10.500000 2.812011e-04 1.620049e-04 2.310167e-04 3304
11.500000 3.207696e-04 1.804207e-04 2.648756e-04 4008
12.500000 3.175730e-04 1.958911e-04 2.557713e-04 3990
13.500000 3.351171e-04 2.096869e-04 2.646680e-04 4029
14.500000 3.357986e-04 2.132459e-04 2.603467e-04 4091
15.500000 3.404491e-04 2.109820e-04 2.683698e-04 4030
16.500000 3.423783e-04 2.093894e-04 2.694931e-04 4045
17.500000 3.382249e-04 2.097569e-04 2.675828e-04 4003
18.500000 3.324292e-04 2.074386e-04 2.587735e-04 3932
19.500000 3.370293e-04 2.124154e-04 2.618083e-04 3871
20.500000 3.443981e-04 2.108571e-04 2.736897e-04 3985
21.500000 3.439022e-04 2.119629e-04 2.724841e-04 4031
22.500000 3.441982e-04 2.106693e-04 2.735623e-04 4030
23.500000 3.357213e-04 2.120921e-04 2.618952e-04 4028
24.500000 3.361781e-04 2.081283e-04 2.658590e-04 4029
25.500000 3.358188e-04 2.051220e-04 2.645284e-04 4003
26.500000 3.386634e-04 2.054373e-04 2.659684e-04 3985
27.500000 3.302921e-04 1.970975e-04 2.614436e-04 3943
28.500000 3.188531e-04 1.799349e-04 2.625707e-04 3916
29.500000 2.826441e-04 1.611217e-04 2.314924e-04 3274
30.500000 2.308195e-04 1.436556e-04 1.821376e-04 865
31.500000 1.680976e-04 1.123724e-04 1.243130e-04 198
32.500000 1.422571e-04 7.893761e-05 1.149596e-04 187
33.500000 1.244185e-04 4.815977e-05 1.148372e-04 209
34.500000 1.311870e-04 4.424690e-05 1.216982e-04 220
35.500000 1.278110e-04 4.825435e-05 1.178716e-04 191
36.500000 1.266742e-04 4.691247e-05 1.176527e-04 205
37.500000 1.301573e-04 4.507615e-05 1.216859e-04 201
38.500000 1.263467e-04 4.489438e-05 1.187429e-04 214
39.500000 1.279752e-04 4.606591e-05 1.220930e-04 215
