# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.500000 5.742443e-05 4.851282e-05 3.401445e-05 215
1.500000 5.941113e-05 4.676242e-05 3.679268e-05 197
2.500000 6.138729e-05 5.082718e-05 3.191868e-05 186
3.500000 5.845323e-05 4.959845e-05 3.399661e-05 206
4.500000 5.764341e-05 4.641507e-05 3.066713e-05 197
5.500000 5.873998e-05 4.730124e-05 3.418627e-05 210
6.500000 6.027102e-05 4.869883e-05 3.612063e-05 224
7.500000 8.834106e-05 8.141886e-05 3.341917e-05 227
8.500000 1.226990e-04 1.129901e-04 4.377728e-05 193
9.500000 1.728368e-04 1.458273e-04 9.014927e-05 913
10.500000 2.085539e-04 1.620049e-04 1.343645e-04 3304
11.500000 2.323430e-04 1.804207e-04 1.476650e-04 4008
12.500000 2.453760e-04 1.958911e-04 1.546753e-04 3990
13.500000 2.562922e-04 2.096869e-04 1.512650e-04 4029
14.500000 2.625645e-04 2.132459e-04 1.575052e-04 4091
15.500000 2.622270e-04 2.109820e-04 1.548844e-04 4030
16.500000 2.626542e-04 2.093894e-04 1.576544e-04 4045
17.500000 2.585644e-04 2.097569e-04 1.499552e-04 4003
18.500000 2.542637e-04 2.074386e-04 1.509420e-04 3932
19.500000 2.583999e-04 2.124154e-04 1.503509e-04 3871
20.500000 2.595406e-04 2.108571e-04 1.556344e-04 3985
21.500000 2.615581e-04 2.119629e-04 1.570865e-04 4031
22.500000 2.608693e-04 2.106693e-04 1.555406e-04 4030
23.500000 2.623786e-04 2.120921e-04 1.556906e-04 4028
24.500000 2.601473e-04 2.081283e-04 1.528793e-04 4029
25.500000 2.600254e-04 2.051220e-04 1.572882e-04 4003
26.500000 2.547823e-04 2.054373e-04 1.525369e-04 3985
27.500000 2.531035e-04 1.970975e-04 1.566277e-04 3943
28.500000 2.350493e-04 1.799349e-04 1.485932e-04 3916
29.500000 2.093246e-04 1.611217e-04 1.365192e-04 3274
30.500000 1.714001e-04 1.436556e-04 9.226539e-05 865
31.500000 1.237906e-04 1.123724e-04 4.358549e-05 198
32.500000 8.855963e-05 7.893761e-05 3.496488e-05 187
33.500000 5.875338e-05 4.815977e-05 3.265128e-05 209
34.500000 5.306425e-05 4.424690e-05 3.050467e-05 220
35.500000 5.844710e-05 4.825435e-05 3.456590e-05 191
36.500000 6.105674e-05 4.691247e-05 3.939070e-05 205
37.500000 5.754398e-05 4.507615e-05 3.563780e-05 201
38.500000 5.577466e-05 4.489438e-05 3.347558e-05 214
39.500000 5.610622e-05 4.606591e-05 3.297251e-05 215
