# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 1.485619e-04 2.288797e-08 1.485597e-04 411
1.500000 1.463447e-04 2.308699e-08 1.463447e-04 411
2.500000 1.464398e-04 2.279178e-08 1.464389e-04 445
3.500000 1.528368e-04 2.232682e-08 1.528364e-04 444
4.500000 1.555323e-04 2.448877e-08 1.555319e-04 431
5.500000 1.514510e-04 2.253228e-08 1.514497e-04 399
6.500000 1.551422e-04 2.204643e-08 1.551414e-04 440
7.500000 2.236798e-04 2.465003e-08 2.236784e-04 431
8.500000 3.529035e-04 2.459027e-08 3.529045e-04 441
9.500000 4.425495e-04 2.273299e-08 4.425495e-04 381
10.500000 4.538153e-04 2.364645e-08 4.538149e-04 411
11.500000 3.724933e-04 2.479281e-08 3.724921e-04 414
12.500000 2.284731e-04 2.603275e-08 2.284729e-04 446
13.500000 1.580087e-04 2.644513e-08 1.580077e-04 465
14.500000 1.554156e-04 2.664006e-08 1.554153e-04 432
15.500000 1.535310e-04 2.515332e-08 1.535302e-04 451
16.500000 1.494568e-04 2.162411e-08 1.494560e-04 425
17.500000 1.489213e-04 2.236074e-08 1.489204e-04 397
18.500000 1.497185e-04 2.444644e-08 1.497172e-04 421
19.500000 1.547777e-04 2.334043e-08 1.547775e-04 377
20.500000 1.505521e-04 2.358901e-08 1.505521e-04 405
21.500000 1.437562e-04 2.413970e-08 1.437557e-04 420
22.500000 1.478714e-04 2.513431e-08 1.478704e-04 402
23.500000 1.585032e-04 2.347006e-08 1.585017e-04 421
24.500000 1.495467e-04 2.276336e-08 1.495474e-04 417
25.500000 1.541661e-04 2.589416e-08 1.541661e-04 412
26.500000 1.514669e-04 2.498255e-08 1.514664e-04 440
27.500000 2.272507e-04 2.489945e-08 2.272503e-04 404
28.500000 3.707601e-04 2.508240e-08 3.707609e-04 425
29.500000 4.364462e-04 2.396476e-08 4.364451e-04 431
30.500000 4.424215e-04 2.414664e-08 4.424212e-04 424
31.500000 3.539752e-04 2.310073e-08 3.539753e-04 405
32.500000 2.085504e-04 2.549086e-08 2.085503e-04 418
33.500000 1.556188e-04 2.394033e-08 1.556171e-04 420
34.500000 1.509013e-04 2.237733e-08 1.509006e-04 394
35.500000 1.498388e-04 2.343055e-08 1.498383e-04 411
36.500000 1.505702e-04 2.371600e-08 1.505704e-04 413
37.500000 1.529506e-04 2.299578e-08 1.529505e-04 417
38.500000 1.464089e-04 2.306570e-08 1.464092e-04 426
39.500000 1.484326e-04 2.403987e-08 1.484318e-04 422
