# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 1.465023e-04 2.127951e-04 2.644212e-04 431
1.500000 1.555044e-04 1.987338e-04 2.560696e-04 392
2.500000 1.534467e-04 2.003752e-04 2.525245e-04 412
3.500000 1.497783e-04 2.142100e-04 2.602725e-04 423
4.500000 1.551067e-04 1.964420e-04 2.524784e-04 428
5.500000 1.513489e-04 2.215516e-04 2.648692e-04 428
6.500000 1.594485e-04 1.984220e-04 2.535583e-04 436
7.500000 2.409271e-04 2.096236e-04 3.130705e-04 425
8.500000 3.656185e-04 2.113997e-04 4.195002e-04 441
9.500000 4.453451e-04 2.177674e-04 5.074026e-04 408
10.500000 4.467092e-04 2.110525e-04 4.986521e-04 404
11.500000 3.636760e-04 2.119117e-04 4.164647e-04 408
12.500000 2.170040e-04 1.990835e-04 2.978267e-04 432
13.500000 1.558180e-04 2.047108e-04 2.596856e-04 450
14.500000 1.465123e-04 2.121110e-04 2.543078e-04 403
15.500000 1.487396e-04 2.065484e-04 2.490191e-04 395
16.500000 1.545125e-04 2.108992e-04 2.656108e-04 433
17.500000 1.470099e-04 2.009963e-04 2.460256e-04 390
18.500000 1.445160e-04 2.040356e-04 2.525310e-04 428
19.500000 1.431640e-04 2.145752e-04 2.521558e-04 418
20.500000 1.485291e-04 2.065985e-04 2.616571e-04 391
21.500000 1.511675e-04 2.171277e-04 2.620327e-04 426
22.500000 1.466320e-04 2.154985e-04 2.612873e-04 448
23.500000 1.501606e-04 2.119649e-04 2.585365e-04 443
24.500000 1.451295e-04 2.090226e-04 2.548593e-04 403
25.500000 1.496732e-04 2.095844e-04 2.521971e-04 415
26.500000 1.532173e-04 1.973308e-04 2.529731e-04 414
27.500000 2.223039e-04 1.917638e-04 2.988152e-04 419
28.500000 3.523733e-04 1.955078e-04 3.972069e-04 416
29.500000 4.406971e-04 1.962001e-04 4.793108e-04 405
30.500000 4.487697e-04 2.166173e-04 5.041223e-04 413
31.500000 3.650524e-04 2.166808e-04 4.101741e-04 450
32.500000 2.285175e-04 2.138208e-04 3.270087e-04 425
33.500000 1.583560e-04 2.228118e-04 2.725603e-04 463
34.500000 1.582076e-04 2.227787e-04 2.727959e-04 408
35.500000 1.462256e-04 2.054659e-04 2.511198e-04 413
36.500000 1.555514e-04 2.003919e-04 2.572036e-04 412
37.500000 1.512123e-04 1.938033e-04 2.469470e-04 399
38.500000 1.541491e-04 2.000050e-04 2.561640e-04 442
39.500000 1.521317e-04 2.130402e-04 2.643452e-04 410
