# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 1.470319e-04 1.091291e-04 1.816986e-04 411
1.500000 1.528973e-04 1.106561e-04 1.870205e-04 452
2.500000 1.546106e-04 1.117676e-04 1.934827e-04 420
3.500000 1.452371e-04 1.055375e-04 1.802071e-04 431
4.500000 1.507040e-04 1.061702e-04 1.845465e-04 430
5.500000 1.547145e-04 1.065600e-04 1.891978e-04 404
6.500000 1.531392e-04 1.093790e-04 1.880312e-04 414
7.500000 2.235090e-04 1.068651e-04 2.577991e-04 417
8.500000 3.586311e-04 1.064032e-04 3.580790e-04 423
9.500000 4.388203e-04 1.162113e-04 4.623203e-04 421
10.500000 4.423229e-04 1.189288e-04 4.646535e-04 446
11.500000 3.638048e-04 1.172465e-04 3.726221e-04 435
12.500000 2.143311e-04 1.210562e-04 2.522910e-04 433
13.500000 1.519473e-04 1.108448e-04 1.885727e-04 407
14.500000 1.472546e-04 1.127564e-04 1.838404e-04 432
15.500000 1.536954e-04 1.150995e-04 1.925725e-04 401
16.500000 1.448529e-04 1.170633e-04 1.883430e-04 444
17.500000 1.489252e-04 1.077850e-04 1.827068e-04 407
18.500000 1.538281e-04 1.122721e-04 1.922117e-04 404
19.500000 1.527811e-04 1.046379e-04 1.848274e-04 404
20.500000 1.549660e-04 1.079416e-04 1.863827e-04 433
21.500000 1.434983e-04 1.051527e-04 1.791793e-04 396
22.500000 1.453384e-04 1.096021e-04 1.808732e-04 411
23.500000 1.532995e-04 1.151642e-04 1.905934e-04 436
24.500000 1.475279e-04 1.185335e-04 1.897623e-04 419
25.500000 1.483750e-04 1.180599e-04 1.865202e-04 437
26.500000 1.530866e-04 1.120855e-04 1.885434e-04 452
27.500000 2.284751e-04 1.123133e-04 2.596522e-04 430
28.500000 3.758228e-04 1.111794e-04 3.767919e-04 377
29.500000 4.346554e-04 1.148440e-04 4.515765e-04 418
30.500000 4.223286e-04 1.113535e-04 4.424104e-04 392
31.500000 3.456402e-04 1.197220e-04 3.523659e-04 406
32.500000 2.145279e-04 1.084979e-04 2.496775e-04 408
33.500000 1.553339e-04 1.138318e-04 1.918464e-04 411
34.500000 1.550061e-04 1.018074e-04 1.838728e-04 405
35.500000 1.495141e-04 1.044483e-04 1.846300e-04 397
36.500000 1.565065e-04 1.051823e-04 1.886779e-04 445
37.500000 1.460266e-04 1.156078e-04 1.863326e-04 429
38.500000 1.506910e-04 1.163318e-04 1.931354e-04 406
39.500000 1.515986e-04 1.103756e-04 1.881831e-04 456
