# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.500000     -1.142201e-05 4.731322e-10 -7.719881e-06     -1.142184e-05 1.197714e-17 -7.720325e-06     -1.616190e-10 4.731322e-10 4.438029e-10
1.500000     4.250857e-07 -8.607703e-12 3.432499e-06     4.256887e-07 3.137113e-17 3.432638e-06     -6.030516e-10 -8.607734e-12 -1.387156e-10
2.500000     3.323098e-06 6.801655e-10 1.109937e-06     3.322717e-06 -1.499487e-17 1.110952e-06     3.809250e-10 6.801655e-10 -1.014538e-09
3.500000     4.393534e-06 1.262622e-09 -7.321508e-08     4.392706e-06 -3.115762e-17 -7.214395e-08     8.275703e-10 1.262622e-09 -1.071138e-09
4.500000     6.230091e-06 -1.344991e-10 -2.664296e-09     6.230849e-06 -7.064263e-18 -1.863969e-09     -7.583341e-10 -1.344991e-10 -8.003267e-10
5.500000     2.016799e-06 -2.272751e-11 -1.415106e-07     2.017058e-06 9.851345e-18 -1.402434e-07     -2.598429e-10 -2.272752e-11 -1.267201e-09
6.500000     -2.388994e-05 6.430766e-10 -3.028646e-06     -2.389113e-05 -1.047043e-17 -3.027099e-06     1.190871e-09 6.430766e-10 -1.547751e-09
7.500000     -1.627731e-04 1.278065e-09 -5.215353e-06     -1.627726e-04 -8.788933e-18 -5.215597e-06     -4.676353e-10 1.278065e-09 2.439909e-10
8.500000     -3.234110e-04 1.002241e-09 -2.196938e-06     -3.234099e-04 -4.927699e-19 -2.199232e-06     -1.150102e-09 1.002241e-09 2.294338e-09
9.500000     -4.110746e-04 -1.275024e-09 -4.362625e-06     -4.110759e-04 2.034342e-17 -4.362912e-06     1.298014e-09 -1.275024e-09 2.872948e-10
10.500000     -4.121645e-04 -1.855993e-09 -4.778120e-06     -4.121651e-04 1.196764e-18 -4.776962e-06     5.172188e-10 -1.855993e-09 -1.158047e-09
11.500000     -3.210422e-04 2.815778e-10 -2.834357e-06     -3.210411e-04 1.818635e-17 -2.834302e-06     -1.085717e-09 2.815778e-10 -5.478003e-11
12.500000     -1.639203e-04 1.965282e-09 -2.513241e-06     -1.639201e-04 8.046145e-18 -2.512719e-06     -2.829433e-10 1.965282e-09 -5.219602e-10
13.500000     -2.955757e-05 1.026791e-09 6.969709e-07     -2.955833e-05 -1.019734e-17 6.972372e-07     7.670484e-10 1.026791e-09 -2.663370e-10
14.500000     8.202139e-06 -2.063021e-10 2.698010e-06     8.202607e-06 5.626405e-18 2.697410e-06     -4.677261e-10 -2.063021e-10 6.004292e-10
15.500000     6.256353e-06 -1.236184e-09 -1.062224e-06     6.256432e-06 4.113962e-18 -1.063184e-06     -7.981306e-11 -1.236184e-09 9.602663e-10
