# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.500000 2.575959e-04    1.517507e-04 2.081859e-04 -1.401768e-11
1.500000 2.563017e-04    1.504849e-04 2.073318e-04 5.835605e-11
2.500000 2.541293e-04    1.516755e-04 2.039146e-04 -4.930794e-12
3.500000 2.559984e-04    1.520806e-04 2.058862e-04 1.750727e-11
4.500000 2.606021e-04    1.523501e-04 2.113508e-04 3.377302e-11
5.500000 2.595723e-04    1.514654e-04 2.107765e-04 9.290410e-12
6.500000 2.636585e-04    1.592871e-04 2.096709e-04 1.814825e-10
7.500000 3.107143e-04    2.262194e-04 2.081701e-04 2.033367e-09
8.500000 4.056834e-04    3.577373e-04 2.079500e-04 -6.640143e-09
9.500000 4.970450e-04    4.380348e-04 2.213618e-04 6.178164e-09
10.500000 4.893543e-04    4.394763e-04 2.173004e-04 -8.912671e-10
11.500000 4.138145e-04    3.566953e-04 2.126239e-04 -1.198003e-09
12.500000 3.137868e-04    2.314176e-04 2.115408e-04 1.585912e-10
13.500000 2.609836e-04    1.563330e-04 2.093443e-04 -1.525777e-10
14.500000 2.568086e-04    1.515759e-04 2.072931e-04 5.001457e-12
15.500000 2.560225e-04    1.513143e-04 2.065267e-04 -1.742601e-12
16.500000 2.573963e-04    1.513176e-04 2.082623e-04 -1.735471e-11
17.500000 2.575475e-04    1.510266e-04 2.086493e-04 -1.285969e-11
18.500000 2.538573e-04    1.509608e-04 2.041435e-04 -2.018971e-11
19.500000 2.540132e-04    1.518020e-04 2.034831e-04 7.348031e-11
20.500000 2.549709e-04    1.523719e-04 2.043692e-04 2.623621e-11
21.500000 2.585622e-04    1.522917e-04 2.089703e-04 -6.925669e-12
22.500000 2.554702e-04    1.521954e-04 2.052387e-04 -2.132261e-11
23.500000 2.566606e-04    1.520300e-04 2.067953e-04 -2.734561e-12
24.500000 2.594389e-04    1.515257e-04 2.104597e-04 5.522046e-11
25.500000 2.613460e-04    1.512065e-04 2.132102e-04 -2.025560e-11
26.500000 2.608635e-04    1.575680e-04 2.081692e-04 -1.122981e-10
27.500000 3.105441e-04    2.331743e-04 2.071504e-04 -8.439133e-10
28.500000 4.095128e-04    3.593844e-04 2.079177e-04 -4.686171e-09
29.500000 4.913512e-04    4.311627e-04 2.171935e-04 8.351732e-09
30.500000 4.920167e-04    4.330555e-04 2.182104e-04 6.927607e-09
31.500000 4.027337e-04    3.503161e-04 2.093736e-04 -4.364255e-09
32.500000 3.001585e-04    2.194868e-04 2.064908e-04 -7.177541e-10
33.500000 2.611595e-04    1.590450e-04 2.068838e-04 1.081013e-10
34.500000 2.591343e-04    1.527736e-04 2.091470e-04 6.829876e-11
35.500000 2.616995e-04    1.515018e-04 2.135590e-04 -7.362834e-11
36.500000 2.573428e-04    1.515330e-04 2.080077e-04 -4.161976e-12
37.500000 2.583990e-04    1.510215e-04 2.096587e-04 5.796155e-12
38.500000 2.568900e-04    1.519581e-04 2.070998e-04 1.086926e-11
39.500000 2.557933e-04    1.518815e-04 2.059993e-04 -7.348380e-11
