# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.500000     -1.114155e-05 6.684812e-06 -7.227160e-06     -1.142184e-05 1.197714e-17 -7.720325e-06     2.802916e-07 6.684812e-06 4.931650e-07
1.500000     1.972367e-06 -2.184333e-06 1.174101e-05     4.256887e-07 3.137113e-17 3.432638e-06     1.546678e-06 -2.184333e-06 8.308369e-06
2.500000     -9.489599e-07 -9.983847e-06 1.166782e-05     3.322717e-06 -1.499487e-17 1.110952e-06     -4.271677e-06 -9.983847e-06 1.055687e-05
3.500000     6.451037e-06 -3.884071e-06 3.919968e-06     4.392706e-06 -3.115762e-17 -7.214395e-08     2.058331e-06 -3.884071e-06 3.992112e-06
4.500000     8.941342e-06 -9.334964e-07 1.159403e-06     6.230849e-06 -7.064263e-18 -1.863969e-09     2.710493e-06 -9.334964e-07 1.161267e-06
5.500000     4.149943e-06 -3.082282e-07 -2.586370e-06     2.017058e-06 9.851345e-18 -1.402434e-07     2.132884e-06 -3.082282e-07 -2.446127e-06
6.500000     -2.619458e-05 1.023743e-06 -1.482364e-05     -2.389113e-05 -1.047043e-17 -3.027099e-06     -2.303447e-06 1.023743e-06 -1.179654e-05
7.500000     -1.688407e-04 -6.283774e-06 -1.077022e-05     -1.627726e-04 -8.788933e-18 -5.215597e-06     -6.068052e-06 -6.283774e-06 -5.554621e-06
8.500000     -3.131841e-04 -4.468424e-06 3.685555e-06     -3.234099e-04 -4.927699e-19 -2.199232e-06     1.022581e-05 -4.468424e-06 5.884787e-06
9.500000     -4.186821e-04 3.506848e-06 4.261729e-06     -4.110759e-04 2.034342e-17 -4.362912e-06     -7.606164e-06 3.506848e-06 8.624642e-06
10.500000     -4.111420e-04 2.717438e-06 2.366161e-07     -4.121651e-04 1.196764e-18 -4.776962e-06     1.023095e-06 2.717438e-06 5.013578e-06
11.500000     -3.192285e-04 -8.094987e-07 3.198841e-06     -3.210411e-04 1.818635e-17 -2.834302e-06     1.812546e-06 -8.094987e-07 6.033143e-06
12.500000     -1.644004e-04 -4.002856e-06 -2.735942e-06     -1.639201e-04 8.046145e-18 -2.512719e-06     -4.803237e-07 -4.002856e-06 -2.232235e-07
13.500000     -2.696335e-05 -1.989075e-06 1.291759e-06     -2.955833e-05 -1.019734e-17 6.972372e-07     2.594983e-06 -1.989075e-06 5.945221e-07
14.500000     6.783750e-06 1.980096e-06 7.939125e-06     8.202607e-06 5.626405e-18 2.697410e-06     -1.418857e-06 1.980096e-06 5.241715e-06
15.500000     6.599841e-06 7.827662e-07 1.777163e-06     6.256432e-06 4.113962e-18 -1.063184e-06     3.434084e-07 7.827662e-07 2.840348e-06
16.500000     4.260062e-06 5.002609e-07 -1.128006e-07     1.085681e-06 1.840567e-18 -3.538771e-06     3.174381e-06 5.002609e-07 3.425970e-06
17.500000     -9.548481e-06 4.855390e-06 6.990244e-07     5.278378e-07 -5.466388e-18 -7.610470e-07     -1.007632e-05 4.855390e-06 1.460071e-06
18.500000     7.931579e-06 3.367167e-06 3.992389e-06     -1.485464e-06 -1.682926e-17 1.694573e-06     9.417042e-06 3.367167e-06 2.297817e-06
19.500000     -3.856818e-06 -1.837786e-06 1.289018e-05     -4.830948e-06 1.445204e-17 6.750121e-06     9.741300e-07 -1.837786e-06 6.140057e-06
20.500000     -5.107182e-06 3.291921e-07 9.426113e-06     -5.149624e-06 7.274345e-18 7.692358e-06     4.244164e-08 3.291921e-07 1.733755e-06
21.500000     -5.658578e-06 4.241593e-06 5.068164e-06     -5.867497e-06 -1.052884e-17 5.476627e-06     2.089189e-07 4.241593e-06 -4.084637e-07
22.500000     -1.928067e-06 4.847108e-06 2.581193e-06     -4.538315e-06 -4.007825e-18 1.984005e-06     2.610248e-06 4.847108e-06 5.971879e-07
23.500000     -3.606071e-06 7.557763e-06 -5.834080e-06     1.474337e-06 1.676228e-18 -4.461763e-06     -5.080408e-06 7.557763e-06 -1.372316e-06
24.500000     1.024411e-05 3.075766e-06 -5.198214e-06     4.775691e-06 -8.236481e-18 -4.892707e-06     5.468417e-06 3.075766e-06 -3.055074e-07
