# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.500000 1.893465e-04 1.499036e-04 1.132762e-04 2102
1.500000 1.902594e-04 1.509602e-04 1.125101e-04 2075
2.500000 1.880296e-04 1.498789e-04 1.145982e-04 2103
3.500000 1.856873e-04 1.476254e-04 1.114330e-04 2139
4.500000 1.889593e-04 1.525478e-04 1.122726e-04 2117
5.500000 1.864660e-04 1.507872e-04 1.083336e-04 2041
6.500000 1.929108e-04 1.561592e-04 1.110170e-04 2160
7.500000 2.551826e-04 2.266729e-04 1.113815e-04 2056
8.500000 3.679033e-04 3.605085e-04 1.114630e-04 2169
9.500000 4.559418e-04 4.365883e-04 1.103236e-04 2070
10.500000 4.635685e-04 4.439724e-04 1.144986e-04 2073
11.500000 3.726622e-04 3.662511e-04 1.097780e-04 2092
12.500000 2.518567e-04 2.200294e-04 1.143674e-04 2118
13.500000 1.905355e-04 1.537953e-04 1.120727e-04 2196
14.500000 1.873399e-04 1.501372e-04 1.136579e-04 2100
15.500000 1.913041e-04 1.549781e-04 1.113912e-04 2056
16.500000 1.903137e-04 1.498886e-04 1.162929e-04 2176
17.500000 1.844092e-04 1.502436e-04 1.109900e-04 2061
18.500000 1.879140e-04 1.513573e-04 1.123417e-04 2065
19.500000 1.875221e-04 1.510880e-04 1.106030e-04 2022
20.500000 1.870027e-04 1.509126e-04 1.121228e-04 2072
21.500000 1.814655e-04 1.454185e-04 1.102130e-04 2081
22.500000 1.843353e-04 1.470336e-04 1.137618e-04 2075
23.500000 1.919832e-04 1.540216e-04 1.148808e-04 2150
24.500000 1.857209e-04 1.486139e-04 1.132704e-04 2135
25.500000 1.904866e-04 1.528643e-04 1.120559e-04 2109
26.500000 1.872077e-04 1.550739e-04 1.062223e-04 2141
27.500000 2.531296e-04 2.258514e-04 1.108441e-04 2066
28.500000 3.714821e-04 3.642342e-04 1.116136e-04 2032
29.500000 4.521076e-04 4.339178e-04 1.152087e-04 2110
30.500000 4.559968e-04 4.363921e-04 1.085742e-04 2060
31.500000 3.624014e-04 3.584141e-04 1.154958e-04 2090
32.500000 2.534465e-04 2.196298e-04 1.094075e-04 2111
33.500000 1.910027e-04 1.560710e-04 1.128564e-04 2096
34.500000 1.895523e-04 1.543040e-04 1.104456e-04 2062
35.500000 1.897973e-04 1.503889e-04 1.129545e-04 2102
36.500000 1.869410e-04 1.533416e-04 1.103889e-04 2145
37.500000 1.896980e-04 1.501984e-04 1.135486e-04 2089
38.500000 1.870322e-04 1.493478e-04 1.099886e-04 2133
39.500000 1.891518e-04 1.500909e-04 1.119865e-04 2150
