# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.704921e-06    2.701329e-06 1.391326e-07 5.901743e-17
1.596051 4.939582e-06    4.939380e-06 4.475513e-08 -4.591693e-18
2.660086 6.836787e-05    6.798424e-05 7.230879e-06 2.343547e-14
3.724120 2.439699e-04    1.389927e-04 2.004568e-04 1.942134e-11
4.788154 3.214037e-04    1.839011e-04 2.635848e-04 3.829610e-12
5.852189 3.277064e-04    1.932671e-04 2.646463e-04 1.640085e-12
6.916223 3.279814e-04    1.934181e-04 2.648846e-04 -2.627215e-12
7.980257 3.267778e-04    1.935697e-04 2.632456e-04 1.628179e-11
9.044291 3.285280e-04    1.934174e-04 2.655627e-04 -3.202518e-12
10.108326 3.238961e-04    1.846566e-04 2.661052e-04 -1.381867e-12
11.172360 2.552064e-04    1.394734e-04 2.137093e-04 5.807299e-12
12.236394 6.946277e-05    6.903493e-05 7.718858e-06 -3.260804e-13
13.300429 2.883042e-06    2.881469e-06 9.614941e-08 -1.772138e-16
14.364463 2.588722e-06    2.588084e-06 5.734340e-08 1.522657e-17
